,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,811,20746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,7,,,,,,,8,69,,,,,,,1899,13,,,,,,,,,,,6589,15,11,8,924,19,,,,,,,170,18,,,,,1826,9,,,,,,,,,,,,,,,2,9,,,,,,,497,3,,,,,,,,,,,107,16,,,,,,,,,,,,,,,,,117,63,314,29,,,,,,,,,,,,,216,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509,2,,,26,26,,,,,,,,,,,,,,,,,,,,,474,16,,,,,419,12,,,,,298,2,332,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,18,,,,,67,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806,3
11,12,320,19525,,,,,,,,,,,108,14,,,,,,,15,5,,,,,,,,,,,,,11,1,,,58,11,,,,,,,,,12,3,,,,,52,10,,,,,,,296,6,,,3,11,28,26,1580,16,,,,,,,149,6,,,8203,10,7,15,1308,14,20,12,4,17,113,10,212,13,,,,,2501,6,,,,,11,5,1,4,,,,,6,2,6,4,11,3,,,,,60,24,47,5,,,,,,,,,264,7,,,,,,,181,8,,,,,,,8,7,256,38,238,38,,,,,5,6,,,,,18,2,35,26,,,,,,,6,5,,,,,,,,,,,25,11,8,13,,,,,,,,,11,6,,,,,171,3,,,,,,,,,,,,,586,13,19,2,49,16,,,,,,,10,3,,,,,,,,,,,,,773,10,,,,,192,20,,,,,91,8,902,19,,,,,,,,,,,,,6,3,,,,,,,116,4,102,4,,,,,24,14,,,,,74,28,,,,,9,6,,,,,,,33,11,,,,,30,3,52,27,,,3,1,50,18,,,,,,,,,68,14,,,,,,,,,,,3,11,,,,,,,,,,,285,25
12,13,2243,18227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,15,,,,,,,,,,,,,,,10,50,,,,,,,,,,,,,,,3418,4,,,,,,,,,,,6457,17,,,,,,,,,,,12,90,,,,,1387,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,8,,,,,109,15,,,,,,,,,,,,,,,,,502,20,872,16,,,,,,,,,,,,,19,52,,,,,,,,,,,,,,,,,,,34,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035,5,,,,,,,,,,,3,8,,,,,,,,,,,,,1789,4,,,,,441,11,,,,,29,11,918,17,,,,,,,,,,,5,7,,,,,,,,,,,118,3,,,,,628,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,32
13,14,27443,17924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,26,,,,,,,88,21,,,22,2,38,22,690,36,,,,,,,52,10,,,731,119,18,2,589,30,34,6,,,,,121,25,,,,,391,44,,,,,,,,,,,,,,,,,,,,,,,39,36,,,,,47,13,,,,,,,,,,,,,,,,,,,,,,,325,26,1573,10,,,,,,,,,,,,,668,2,,,,,,,,,,,,,,,,,,,,,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,29,,,,,,,,,,,,,,,,,,,,,,,,,368,17,,,,,197,19,,,,,,,6601,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593,2,,,,,,,,,,,,,73,12,,,,,,,,,278,8,,,,,,,,,,,,,,,,,,,,,,,4149,4
14,15,13,16963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,12,,,,,,,77,22,,,5,7,28,25,1574,17,,,,,,,74,8,,,6755,14,6,19,1839,9,,,11,7,,,61,32,,,3,2,620,26,,,,,,,,,,,,,4,3,,,,,,,,,434,5,,,,,,,,,,,120,12,,,4,1,,,,,,,,,,,,,317,29,2014,8,,,,,,,,,,,,,54,16,,,,,,,,,,,,,,,,,,,,,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,10,10,7,35,20,,,,,,,,,,,,,,,,,,,,,312,21,,,,,271,15,,,,,65,9,678,22,,,,,,,,,,,,,,,,,,,,,16,19,56,7,,,,,48,11,,,,,132,17,,,,,,,,,,,,,,,,,,,,,32,29,,,,,36,24,,,,,,,,,30,18,,,,,,,,,,,,,,,,,,,,,,,511,19
15,16,29351,16816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,5,74,,,,,,,103,18,,,,,,,2534,8,,,,,,,,,,,2614,39,,,151,56,97,3,,,,,136,23,,,,,244,57,,,,,,,,,,,,,,,,,,,,,,,234,7,,,,,,,,,,,49,25,17,6,,,,,,,,,,,,,,,,,84,60,,,,,,,,,,,,,12,74,,,,,,,,,,,,,,,,,,,154,2,125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,31,,,,,,,,,,,,,,,,,,,,,,,,,868,8,,,,,,,,,,,,,7769,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,46,,,,,,,,,,,,,,,,,,,,,,,,,,,640,1,,,,,,,,,653,3,,,,,,,,,,,,,,,,,,,,,,,112,48
16,17,2136,15589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,5,,,,,,,,,,,,,,,,,,,,,,,296,7,,,,,,,3351,5,,,,,,,,,,,4649,24,3,33,242,44,,,,,2058,4,,,,,,,463,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,5,,,,,236,8,12,7,,,,,,,,,,,,,,,329,25,,,,,,,,,,,,,,,20,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,,,,,,,,,,,,,,,,,,,,,843,7,,,,,,,,,,,,,,,,,,,,,,,,,1330,7,,,,,,,,,,,,,76,72,,,,,,,,,,,,,,,,,24,5,,,120,3,,,,,16,3,261,4,7,3,,,348,8,,,,,,,,,,,,,,,,,,,,,304,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,52
17,18,1294,14874,,,,,,,,,,,33,23,,,,,,,11,6,,,,,,,,,,,,,,,,,5,25,,,,,,,,,,,,,,,35,15,,,,,,,,,,,,,60,14,1077,24,,,,,,,,,,,8134,11,5,20,841,23,,,5,15,97,14,189,16,,,,,1700,11,,,,,,,,,,,,,,,6,5,,,,,,,116,12,,,,,,,,,,,74,19,,,,,,,31,12,,,,,6,4,4,9,768,13,,,,,,,,,,,,,,,157,6,,,,,,,,,,,,,,,,,,,,,30,8,,,,,,,8,4,,,,,,,9,10,,,,,,,,,,,,,499,14,,,33,23,,,,,,,6,5,,,,,,,,,,,,,39,59,,,,,,,,,,,,,356,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,9,,,,,166,11,,,,,,,,,,,,,32,12,,,,,,,15,36,,,,,19,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,31
18,19,5072,13818,,,,,,,,,,,555,7,,,,,,,,,,,,,,,,,,,,,,,,,28,13,,,,,117,2,,,,,,,,,3,85,,,,,,,,,,,,,88,9,623,39,,,,,,,,,,,9565,9,3,38,206,50,,,,,35,16,,,,,,,452,39,,,,,,,,,,,,,,,,,78,2,,,,,,,279,2,,,,,,,,,,,,,,,,,127,9,,,,,,,,,317,30,276,34,,,,,,,,,,,,,36,25,,,,,,,,,,,,,,,,,,,,,,,,,,,38,1,,,55,2,,,221,2,114,6,,,,,,,,,,,,,78,53,6,13,67,12,,,,,,,,,,,,,,,,,,,,,,,,,,,50,47,,,,,,,115,59,,,,,,,,,,,,,,,,,,,23,2,,,,,,,,,,,,,,,22,60,,,,,144,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,55
19,20,181,12873,15,4,,,,,,,,,150,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,21,,,,,,,,,,,,,104,8,1420,18,,,,,,,,,,,6337,18,,,988,18,,,6,13,,,124,24,,,,,901,19,,,,,,,,,,,,,,,,,,,,,,,67,23,,,,,219,7,,,,,38,29,,,,,,,,,,,,,,,,,174,52,133,51,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,23,,,35,21,,,,,,,,,,,,,,,,,,,,,86,40,,,,,123,28,,,,,,,934,16,,,,,,,,,,,,,,,,,239,2,,,,,,,,,2,5,,,,,,,99,20,,,,,,,,,,,,,13,16,,,,,,,55,26,,,,,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,30
20,21,25821,12580,,,,,,,,,,,697,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328,22,,,,,,,,,,,945,97,7,17,844,22,,,,,,,,,,,,,3656,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2183,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,7,,,,,,,,,,,,,,,,,,,,,,,495,20
21,22,3886,11032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,3,,,,,,,,,,,,,,,12,45,,,,,,,198,9,,,,,55,18,2281,9,,,,,,,,,,,2570,42,5,21,397,34,21,11,7,11,108,11,180,17,,,,,496,34,,,,,2,6,,,,,,,,,,,,,,,,,32,42,,,,,,,,,,,477,2,,,,,,,,,,,,,,,,,809,11,248,36,,,,,,,,,,,,,40,22,,,,,,,,,19,2,,,11,4,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,39,7,11,78,11,,,,,,,,,,,,,,,,,,,,,310,22,,,,,846,6,,,,,209,5,254,42,,,,,,,,,,,,,,,,,,,,,64,8,28,12,,,,,398,2,,,,,92,23,,,,,,,,,,,,,,,,,,,,,308,8,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,47
22,23,5432,10235,,,,,,,,,,,331,8,,,8,2,,,,,,,,,,,,,,,,,,,,,70,10,,,,,33,4,,,,,,,,,16,34,,,,,,,,,,,,,,,361,63,,,,,,,,,,,5445,20,,,1328,12,,,,,624,7,25,57,,,,,197,72,,,,,,,,,,,,,,,,,11,4,,,,,111,13,146,3,,,,,,,,,,,,,,,,,254,7,,,,,,,,,136,60,139,49,,,,,,,,,,,,,28,32,,,,,,,,,,,,,3,16,,,,,,,33,7,,,,,,,,,48,3,,,33,3,,,,,,,,,,,,,,,131,40,11,6,14,32,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,10,,,,,29,50,,,,,142,3,,,55,2,,,210,5,,,,,,,,,,,,,46,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,43
