bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2181,20886,11,,,,,,,,,,,,,,,,,,,,,8,2,,,,,208,3,,,,,,,,,,,,,,,30,9,,,,,,,74,14,,,,,169,4,1476,15,,,,,145,5,,,5700,21,10,8,1263,13,51,3,11,3,,,164,8,,,1274,12,,,,,,,,,,,,,,,,,,,214,6,,,,,60,9,,,,,195,7,,,,,260,5,,,,,,,17,3,69,76,1344,10,,,,,,,25,3,,,,,34,24,,,,,,,,,,,,,53,6,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1153,2,20,3,110,6,,,,,,,,,,,,,913,3,,,,,284,15,,,117,3,1892,9,,,,,,,9,2,,,,,27,5,,,99,2,22,7,,,,,,,52,1,,,876,2,,,,,,,,,245,2,,,,,794,6,,,,,117,5,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268,5
181,19797,12,17,2,,,,,,,,,366,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,,,,,,,,,,,,,118,6,1342,18,,,,,,,,,13265,8,,,1365,12,,,1,13,,,32,37,,,860,16,,,,,,,,,,,,,,,,,,,91,13,,,,,181,3,,,,,89,15,,,,,,,,,,,,,,,128,50,138,39,,,,,,,,,,,,,,,,,,,10,6,,,,,,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,20,,,44,15,,,,,,,,,,,,,194,23,,,,,133,25,,,,,720,20,,,,,,,,,,,,,9,6,,,,,,,,,3,3,,,,,,,149,9,,,,,,,,,4,16,,,,,79,16,,,,,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,26
320,16929,13,,,,,,,,,,,148,8,,,,,,,,,,,,,,,60,9,,,,,,,,,37,2,,,,,44,5,,,,,,,63,15,,,13,4,33,24,968,19,,,,,88,6,,,6616,16,34,2,3223,3,21,6,,,,,80,22,,,1381,9,,,,,,,8,2,,,9,2,,,2,4,,,71,20,56,4,,,,,,,,,139,10,,,,,245,6,,,,,,,20,2,153,46,348,27,,,,,16,3,,,,,34,2,52,18,,,,,17,3,,,,,,,20,11,,,,,,,,,5,6,,,,,68,4,,,,,,,,,,,,,501,11,77,1,35,19,,,,,,,,,,,,,374,11,,,,,187,20,,,35,8,925,15,,,,,,,,,9,2,,,,,,,31,10,28,5,,,,,,,,,,,95,19,,,,,7,7,10,3,35,8,,,,,131,13,,,8,1,17,17,,,,,,,,,57,9,,,,,,,,,,,,,,,,,,,,,295,18
50381,15875,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14970,5,,,,,,,,,12,17,82,21,,,,,,,,,,,,,,,,,,,,,,,108,12,,,,,,,,,,,,,,,,,,,,,,,,,,,670,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,15814,15,,,,,,,,,,,,,,,,,,,,,,,,,,,30,10,,,,,,,,,,,,,,,4,53,,,,,,,,,,,,,,,3385,4,,,,,,,,,6802,15,,,,,,,,,,,,,,,1413,8,,,,,,,,,,,,,,,,,,,,,,,,,39,10,,,,,76,18,,,,,,,,,,,,,,,508,19,158,37,,,,,,,,,,,,,18,39,,,,,,,,,,,,,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,6,,,,,,,,,,,,,,,,,788,6,,,,,466,10,,,17,10,860,18,,,,,,,5,4,,,,,,,,,,,28,6,,,,,306,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,50
13,14003,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,11,,,,,,,102,11,,,3,9,40,20,1439,16,,,,,,,,,7036,14,5,20,1213,14,,,5,9,,,,,3,2,585,26,,,,,,,,,,,1,4,,,,,,,290,4,,,,,,,,,,,114,13,,,,,,,,,,,,,,,309,29,1015,12,,,,,,,,,,,,,124,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,111,6,12,27,26,,,,,,,,,,,,,183,25,,,,,304,13,,,21,9,635,21,,,,,,,,,,,,,,,,,13,13,14,9,,,,,22,6,,,,,98,18,,,,,,,,,,,,,,,28,27,,,,,,,,,,,,,,,7,15,,,,,,,,,,,,,,,,,,,,,328,17
25821,12977,17,,,,,,,,,,,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3216,6,,,,,,,,,2,967,13,7,,,,,,,,,,,,,4623,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3860,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221,1,,,,,,,,,,,,,,,,,,,,,,,18,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,12918,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,17,20,,,,,,,,,,,,,73,11,833,24,,,,,,,,,4524,25,13,5,1437,11,,,8,6,94,9,166,7,,,1066,15,,,,,,,,,,,,,,,,,,,78,17,,,,,,,,,,,33,26,,,,,,,,,,,,,,,626,14,668,17,,,,,,,,,,,,,20,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,21,,,,,,,,,,,,,,,,,246,18,,,,,482,9,,,84,4,1854,10,,,,,,,,,,,,,,,,,54,5,,,,,,,,,,,,,108,17,,,,,12,4,,,,,,,,,,,,,,,70,9,,,,,,,,,8,11,,,,,,,,,,,,,,,,,,,,,136,29
1294,12435,19,,,,,,,,,,,71,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,26,,,,,,,,,,,,,64,13,663,33,,,,,,,,,7249,12,6,13,578,23,,,,,,,104,13,,,1352,10,,,,,,,,,,,,,,,,,,,128,9,,,,,,,,,,,86,16,,,,,32,11,,,,,7,3,,,738,10,,,,,,,,,,,,,,,81,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,,,,,,,,,,377,16,,,17,30,,,2,5,,,,,,,,,50,43,,,,,,,,,,,485,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,21,,,,,,,,,,,,,,,41,22,,,,,10,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,21
4192,11683,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,24,,,,,,,130,9,,,,,64,14,3183,7,,,,,,,,,9,957,,,473,25,,,,,,,65,26,,,421,34,,,,,,,,,,,,,6,4,,,,,16,41,,,,,,,,,,,199,6,,,,,,,,,,,,,,,1051,6,635,18,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,14,,,,,,,,,,,,,,,,,208,22,,,,,,,,,,,4625,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,16,,,,,,,,,,,,,,,,,,,,,58,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,11575,21,,,,,,,,,,,,,,,,,,,,,,,,,,,10,19,,,,,,,,,,,,,,,15,23,,,,,,,,,,,4,8,31,27,967,20,,,,,,,,,6059,20,4,28,373,28,,,,,,,273,5,,,421,33,,,,,,,,,,,,,,,,,,,42,25,,,,,,,,,,,58,20,,,,,,,,,,,,,,,453,23,760,16,,,,,,,,,,,,,54,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,18,7,9,54,11,,,,,,,,,,,,,385,10,,,,,187,21,,,,,482,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,8,,,,,,,,,,,,,,,,,,,,,7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,11
27443,10674,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,43,,,,,,,59,16,,,6,5,43,17,578,36,,,,,,,,,709,114,4,34,522,24,15,9,,,,,63,28,,,519,29,,,,,,,,,,,,,,,,,,,,,,,,,33,12,,,,,,,,,,,,,,,,,,,,,343,26,1824,8,,,,,,,,,,,,,1941,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,15,,,,,,,,,,,,,,,,,233,21,,,,,177,22,,,,,766,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2436,2
2392,9534,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,33,,,,,,,57,17,,,,,,,853,23,,,,,,,,,4113,28,,,240,36,,,17,2,163,6,,,,,746,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,25,,,,,,,,,,,,,,,330,27,241,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,7,,,33,22,,,,,,,,,,,,,188,24,,,,,1603,3,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,,10,9,,,,,76,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,48
5432,9406,24,,,,,,,,,,,184,7,,,17,2,,,,,,,,,,,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,65,,,,,,,,,6384,19,,,1195,15,,,,,136,7,11,76,,,154,70,,,,,,,,,,,,,,,3,3,,,128,10,66,3,,,,,,,,,,,,,,,274,4,,,,,,,,,110,54,82,48,,,,,,,,,,,,,11,49,,,,,,,,,,,,,,,12,7,,,,,,,6,5,,,13,3,,,,,,,,,,,,,,,86,40,10,7,14,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3,12,2,156,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,45
5072,9398,25,,,,,,,,,,,14,15,,,,,,,,,,,,,,,13,15,,,,,66,2,,,,,,,,,7,42,,,,,,,,,,,,,102,8,392,45,,,,,,,,,7222,13,5,23,75,68,,,,,,,,,,,278,45,,,,,,,,,,,,,,,7,2,,,,,205,2,,,,,,,,,,,,,,,191,7,,,,,,,,,81,67,302,29,,,,,,,,,,,,,21,36,,,,,,,,,,,,,,,,,,,11,1,,,17,2,,,36,2,,,,,,,,,,,,,,,50,55,6,13,70,7,,,,,,,,,,,,,,,,,,,,,,,,,112,55,,,,,,,,,,,,,,,6,4,,,,,,,,,,,,,,,20,48,,,,,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,70
2719,8964,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,74,,,,,,,,,,,,,32,26,629,34,,,,,,,,,6460,18,6,16,273,34,,,,,,,28,41,,,804,18,,,,,,,,,,,,,,,,,,,64,21,,,,,,,,,,,13,42,,,,,,,,,,,,,,,184,42,,,,,,,,,,,,,,,13,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,44,,,,,,,,,,,,,,,,,48,45,,,,,,,,,,,159,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,41,,,,,,,,,,,,,,,,,,,,,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,30
811,8676,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,16,,,,,,,14,35,,,,,,,914,21,,,,,,,,,3296,33,,,1057,16,,,,,,,49,30,,,650,21,,,,,,,,,,,,,,,,,,,213,7,,,,,,,,,,,47,24,,,,,,,,,,,,,,,49,93,158,36,,,,,,,,,,,,,476,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972,4,,,31,23,,,,,,,,,,,,,156,27,,,,,250,18,,,61,6,262,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,8495,28,,,,,,,,,,,,,,,,,,,,,,,,,,,104,8,,,,,,,,,,,,,,,,,,,,,,,129,10,,,,,,,2748,8,,,,,,,,,2537,46,7,12,168,45,,,,,269,3,,,,,192,64,,,,,,,,,,,,,,,,,,,,,,,,,86,7,,,,,134,11,,,,,,,,,,,,,,,296,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3,,,,,,,,,,,,,,,,,,,,,473,12,,,,,,,,,,,,,,,,,614,7,,,,,,,,,,,83,64,,,,,,,,,,,,,,,,,63,4,,,,,,,,,3,3,,,520,4,,,,,,,,,,,,,,,32,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,88
6819,7748,29,,,,,,,,,,,,,,,,,,,,,,,,,,,29,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,23,4501,2,,,,,,,,,1554,66,6,18,38,92,,,,,,,20,52,,,641,22,,,,,,,,,,,,,,,,,,,42,26,,,,,,,,,,,,,,,,,,,,,,,4,4,,,80,68,70,52,,,,,,,,,,,,,18,40,,,,,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,59,50,,,13,34,,,,,,,,,,,,,319,15,,,,,17,61,,,,,133,50,,,,,,,,,,,,,,,,,6,24,,,,,,,,,,,,,38,35,,,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,38
