,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,29351,19414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2,,,,,,,,,,,,,,,,,,,,,,,,,147,12,,,,,,,3105,9,,,,,,,,,3087,34,,,173,50,102,3,,,,,82,27,,,260,51,,,,,,,,,,,,,,,,,,,,,248,7,,,,,,,,,,,44,27,20,5,,,,,,,,,,,,,,,126,44,,,,,,,,,,,,,9,57,,,,,,,,,,,,,,,,,354,2,139,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,39,,,,,,,,,,,,,,,,,,,,,,,,,631,9,,,,,,,,,,,,,9450,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,39,,,,,,,,,,,,,,,,,,,,,,,816,2,,,,,,,,,371,5,,,,,,,,,,,,,,,,,,,,,,,66,53
11,12,2425,17745,,,,,,,,,,,55,11,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,52,7,,,,,,,155,11,,,,,225,6,1488,19,,,,,,,,,4349,23,4,30,1137,18,,,5,8,187,9,189,10,,,1119,14,,,,,,,,,,,,,,,,,,,,,148,12,,,,,,,,,,,212,11,,,,,,,,,,,,,,,1006,6,452,21,,,,,,,,,,,,,10,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,21,,,,,,,,,,,,,,,,,,,,,,,,,808,8,,,,,914,5,,,,,250,2,3930,4,,,,,,,,,,,,,,,,,,,,,71,8,,,,,,,,,,,,,191,10,,,,,2,8,,,,,,,,,,,,,,,,,289,4,,,,,,,,,26,15,,,,,,,,,,,,,,,,,,,,,,,149,31
12,13,320,17160,,,,,,,,,,,89,9,,,,,12,3,,,,,,,,,8,1,,,117,9,,,,,,,,,8,5,,,,,36,14,,,,,,,134,14,,,4,7,55,17,1598,18,,,,,377,4,,,6652,15,25,2,1304,13,38,7,,,76,14,227,7,,,1420,9,,,,,,,2,3,,,7,2,,,14,3,,,,,102,16,54,5,,,,,,,,,276,6,,,,,351,5,,,,,,,14,4,210,37,274,28,,,,,4,4,,,,,13,3,20,25,,,,,,,5,4,,,,,,,,,42,9,18,10,,,,,,,,,8,5,,,,,131,3,,,,,,,,,,,,,805,10,11,4,59,15,,,,,,,3,8,,,,,,,,,,,,,481,12,,,,,228,20,,,,,102,8,1021,14,,,,,,,,,,,,,8,2,,,,,,,102,5,47,7,,,,,,,,,,,77,22,,,,,17,4,,,9,4,10,16,,,,,14,25,,,14,1,43,15,,,,,,,,,28,14,,,,,,,,,,,11,3,,,,,,,,,,,345,19
13,14,25821,16534,,,,,,,,,,,249,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2368,12,,,,,,,,,867,102,8,13,1502,9,,,,,,,,,,,3582,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2644,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,7,,,,,,,,,,,,,,,,,,,,,,,3673,3
14,15,2243,16232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,13,,,,,,,,,,,,,,,14,31,,,,,,,,,,,,,,,3968,4,,,,,,,,,5262,18,,,,,,,,,,,,,,,1559,7,,,,,,,,,,,,,,,,,,,,,,,,,,,136,7,,,,,224,10,,,,,,,,,,,,,,,609,16,155,42,,,,,,,,,,,,,14,41,,,,,,,,,,,,,,,,,76,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959,8,,,,,,,,,,,,,,,,,,,,,,,,,1004,6,,,,,461,13,,,,,38,9,862,15,,,,,,,,,,,15,2,,,,,,,,,,,70,3,,,,,715,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,54
15,16,811,16013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,15,,,,,,,19,38,,,,,,,1754,15,,,,,,,,,4767,20,3,38,1744,7,,,,,,,123,23,,,1215,12,,,,,,,,,,,,,4,5,,,,,,,442,5,,,,,,,,,,,177,14,,,,,,,,,,,,,,,75,77,280,27,,,,,,,,,,,,,298,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2033,1,,,23,26,,,,,,,,,,,,,,,,,,,,,343,18,,,,,685,6,,,,,118,7,280,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1566,7
16,17,13,15741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,10,,,,,,,125,16,,,4,5,33,25,1364,21,,,,,25,11,,,7032,13,5,21,1436,11,,,3,12,,,30,47,5,2,668,22,,,,,,,,,,,,,,,,,,,,,627,2,,,,,,,,,,,158,16,,,,,,,,,,,,,,,318,31,1198,11,,,,,,,,,,,,,46,12,,,,,,,,,,,,,,,,,,,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,12,16,2,46,19,,,,,,,,,,,,,,,,,,,,,201,24,,,,,294,15,,,,,33,10,764,16,,,,,,,,,,,,,,,,,,,,,15,16,19,10,,,,,77,7,,,,,131,19,,,,,,,,,,,,,,,,,21,16,,,,,,,,,,,,,,,25,16,,,,,,,,,,,,,,,,,,,,,,,279,23
17,18,181,14714,11,4,,,,,,,,,73,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,21,,,,,,,,,,,,,121,10,1608,17,,,,,,,,,7816,12,,,1496,10,,,1,15,,,59,30,,,777,18,,,,,,,,,,,,,,,,,,,,,111,15,,,,,204,5,,,,,98,19,,,,,,,,,,,,,,,199,39,140,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,17,,,71,13,,,,,,,,,,,,,,,,,,,,,184,26,,,,,133,27,,,,,,,600,22,,,,,,,,,,,,,,,,,146,2,,,,,,,,,1,3,,,,,,,199,9,,,,,,,,,,,17,13,,,,,19,18,,,,,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,34
18,19,1294,13821,,,,,,,,,,,29,14,,,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,12,,,,,,,,,,,,,55,18,1011,26,,,,,,,,,6530,16,9,7,771,23,,,,,64,16,157,16,,,2244,5,,,,,,,,,,,,,10,2,,,,,,,150,11,,,,,,,,,,,136,17,,,,,32,13,,,,,12,2,,,974,7,,,,,,,,,,,,,,,27,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,,,,,,,,,,,,,505,14,,,21,27,,,,,,,7,3,,,,,,,,,,,,,48,50,,,,,,,,,,,,,613,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,16,,,,,,,,,,,18,12,,,,,12,27,,,,,20,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,29
19,20,50381,13561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,34,925,29,,,,,,,,,10362,10,,,446,31,,,,,167,11,133,22,,,240,55,,,,,,,,,,,,,,,,,,,,,162,10,,,,,,,,,,,,,,,,,,,,,,,,,,,534,18,110,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,2136,12906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,7,,,,,,,,,,,,,,,,,,,,,,,366,4,,,,,,,3117,8,,,,,,,,,3601,27,9,8,246,41,,,,,937,4,,,,,380,40,,,,,,,,,,,,,,,,,,,,,,,,,,,144,6,,,,,233,9,,,,,,,,,,,,,,,355,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,,,,,,,,,,,,,,,1269,5,,,,,,,,,,,,,,,,,,,,,,,,,1409,3,,,,,,,,,,,,,72,75,,,,,,,,,,,,,,,,,15,7,,,195,3,,,,,4,2,,,10,3,,,297,7,,,,,,,,,,,,,,,,,31,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,93
21,22,3886,11822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,4,,,,,,,,,,,,,,,37,13,,,,,,,206,9,,,,,105,12,4380,3,,,,,,,,,1665,60,4,32,369,33,19,12,,,113,13,171,13,,,486,33,,,,,4,4,,,,,,,,,,,,,,,30,35,,,,,,,,,,,698,2,,,,,,,,,,,,,,,910,8,98,56,,,,,,,,,,,,,14,42,,,,,,,,,12,2,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,35,1,19,112,10,,,,,,,,,,,,,,,,,,,,,234,23,,,,,612,8,,,,,204,3,245,36,,,,,,,,,,,,,,,,,,,,,62,10,26,8,,,,,376,3,,,,,67,26,,,,,,,,,,,,,,,,,52,9,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,46
22,23,5072,11373,,,,,,,,,,,8,20,,,,,,,,,,,,,,,,,,,19,17,,,,,130,2,,,,,,,,,7,53,,,,,,,,,,,,,138,9,516,53,,,,,,,,,6705,14,7,15,124,61,,,,,,,,,,,318,45,,,,,,,,,,,,,,,28,2,,,,,,,604,2,,,,,,,,,,,,,,,164,10,,,,,,,,,84,74,1204,10,,,,,,,,,,,,,50,11,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,19,2,,,637,2,38,5,,,,,,,,,,,,,53,60,9,5,135,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,65,,,,,,,,,,,,,,,,,,,14,2,,,,,,,,,,,,,,,51,37,,,,,158,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,62
23,24,27443,10615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,20,,,,,,,59,25,,,8,2,55,19,730,40,,,,,,,,,606,127,9,12,518,29,40,6,,,,,88,26,,,362,43,,,,,,,,,,,,,,,,,,,,,39,30,,,,,33,13,,,,,,,,,,,,,,,,,,,,,623,14,1216,9,,,,,,,,,,,,,394,3,,,,,,,,,,,,,,,,,,,45,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,27,,,,,,,,,,,,,,,,,,,,,,,,,308,20,,,,,534,9,,,,,,,729,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,5,,,,,,,,,,,41,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3816,2
24,25,822,8626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,12,,,,,,,,,,,,,,,28,18,,,,,,,108,18,,,6,4,20,38,1231,23,,,,,38,9,,,3284,29,6,18,522,28,,,,,,,162,15,,,501,32,,,,,,,,,,,,,,,,,,,,,20,38,,,,,,,,,,,99,18,,,,,,,,,,,,,,,325,30,302,25,,,,,,,,,,,,,45,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,22,5,10,38,21,,,,,,,,,,,,,,,,,,,,,279,21,,,,,114,31,,,,,,,686,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,13,,,,,,,,,,,,,,,,,,,,,,,1,52,,,,,,,,,11,21,,,,,,,,,,,,,,,,,,,,,,,346,18
