bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
1294,23234,11,,,,,,,,,,,39,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,14,,,,,,,,,,,,,90,10,826,33,,,,,,,,,12685,8,11,13,4269,3,,,,,,,163,9,,,1630,9,,,,,,,,,,,,,,,,,163,8,,,,,,,,,,,145,15,,,,,10,15,,,,,4,5,,,871,7,,,,,,,,,,,,,135,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,,,,,,,,,,639,12,,,61,20,,,12,2,,,,,,,,,75,44,,,,,,,,,,,949,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,16,,,,,,,,,,,,,,,,,38,25,,,,,12,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,23
320,22840,12,,,,,,,,,,,140,8,,,,,,,,,,,,,,,96,9,,,,,,,,,13,3,,,,,79,5,,,,,,,112,13,,,11,4,34,23,1286,20,,,,,302,4,,,11430,11,11,12,1440,12,32,6,,,,,142,13,,,2054,7,,,,,6,2,,,11,2,,,6,3,,,51,23,81,3,,,,,,,,,213,7,,,,,324,4,,,,,,,17,3,247,38,442,24,,,17,3,,,,,10,3,60,18,,,,,,,12,5,,,,,,,46,9,,,,,,,,,5,7,,,,,68,3,,,,,,,,,,,,,641,11,99,1,58,23,,,,,,,,,,,,,692,8,,,,,214,18,,,54,8,1460,13,,,,,,,,,7,2,,,,,,,75,8,64,4,,,,,,,,,,,84,24,,,,,11,7,13,2,,,36,9,,,,,148,14,,,13,1,55,11,,,,,,,,,37,10,,,,,,,,,,,,,,,,,,,,,281,19
50381,22459,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21542,3,,,,,,,,,10,15,148,12,,,,,,,,,,,,,,,,,,,,,73,19,,,,,,,,,,,,,,,,,,,,,,,,,,,686,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,22135,14,,,,,,,,,,,,,,,,,,,,,,,,,,,34,12,,,,,,,,,,,,,,,7,50,,,,,,,,,,,,,,,3468,10,,,,,,,,,10779,12,,,,,,,,,,,,,,,2477,5,,,,,,,,,,,,,,,,,,,,,,,85,10,,,,,103,19,,,,,,,,,,,,,,,537,21,204,33,,,,,,,,,,,12,48,,,,,,,,,,,,,,,62,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979,5,,,,,,,,,,,,,,,,,1167,5,,,,,483,7,,,43,10,1122,17,,,,,,,9,3,,,,,,,,,,,63,5,,,,,446,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,52
181,20503,15,35,2,,,,,,,,,232,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,15,,,,,,,,,,,,,137,7,1720,16,,,,,,,,,11499,10,,,1697,9,,,11,7,,,98,19,,,1326,12,,,,,,,,,,,,,,,,,125,11,,,,,375,2,,,,,170,12,,,,,,,,,,,,,,,193,41,143,40,,,,,,,,,,,,,,,,,,,7,7,,,,,,,33,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,15,,,101,12,,,,,,,,,,,,,286,25,,,,,138,24,,,,,1151,16,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,266,9,,,,,,,,,,,21,10,,,,,81,16,,,,,27,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,25
13,17482,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,8,,,,,,,147,10,,,11,3,45,18,1160,23,,,,,,,,,8859,14,4,35,1504,11,,,11,6,,,,,5,2,817,23,,,,,,,,,,,,,,,,,251,5,,,,,,,,,,,160,14,,,,,,,,,,,,,,,381,25,1486,9,,,,,,,,,,,164,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,129,14,7,66,19,,,,,,,,,,,,,399,22,,,,,270,15,,,46,9,977,21,,,,,,,,,,,,,,,,,23,14,40,7,,,,,58,5,,,,,171,14,,,,,,,,,,,,,,,,,22,28,,,,,,,,,,,,,,,11,13,,,,,,,,,,,,,,,,,,,,,319,16
2425,14308,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,53,10,,,,,,,1,63,,,,,65,15,968,27,,,,,,,,,4858,25,7,22,1194,17,,,9,10,81,8,206,6,,,1253,14,,,,,,,,,,,,,,,,,121,12,,,,,,,,,,,13,40,,,,,,,,,,,,,,,694,14,704,17,,,,,,,,,,,30,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,23,,,,,,,,,,,,,,,,,432,20,,,,,389,12,,,107,4,2331,9,,,,,,,,,,,,,,,,,77,7,,,,,,,,,,,,,242,10,,,,,6,8,,,,,,,,,,,,,,,,,71,9,,,,,,,,,13,11,,,,,,,,,,,,,,,,,,,,,127,27
25821,14113,18,,,,,,,,,,,68,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2740,12,,,,,,,,,5,955,13,9,,,,,,,,,,,,,3657,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6307,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,3,,,,,,,,,,,,,,,,,,,,,,,28,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2952,13778,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,16,,,,,,,,,,,,,75,13,6824,1,,,,,,,,,3773,32,5,31,749,21,,,12,5,,,166,8,,,752,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,16,,,,,,,,,484,22,45,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,21,,,92,13,,,,,,,,,,,,,,,,,,,94,30,,,,,223,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,12199,20,,,,,,,,,,,,,,,,,,,,,,,,,,,22,14,,,,,,,,,,,,,,,20,28,,,,,,,,,,,4,6,17,34,1419,19,,,,,,,,,5008,23,3,41,560,24,,,,,,,230,5,,,547,31,,,,,,,,,,,,,,,,,33,29,,,,,,,,,,,116,18,,,,,,,,,,,,,,,569,19,536,20,,,,,,,,,,,64,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,14,8,13,91,14,,,,,,,,,,,,,781,7,,,,,109,28,,,,,903,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,11,,,,,,,,,,,,,,,,,,,,,,,6,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,11
2136,10212,21,,,,,,,,,,,,,,,,,,,,,,,,,,,132,7,,,,,,,,,,,,,,,,,,,,,,,312,5,,,,,,,3904,7,,,,,,,,,2523,43,11,14,128,56,,,,,205,4,,,,,246,57,,,,,,,,,,,,,,,,,,,,,,,175,6,,,,,167,13,,,,,,,,,,,,,,,323,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,,,,,,,,,,,,,,,,,,,,,617,13,,,,,,,,,,,,,,,,,887,6,,,,,,,,,,,83,66,,,,,,,,,,,,,,,,,103,4,,,,,,,,,7,3,,,274,8,,,,,,,,,,,,,,,,,76,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,75
811,9966,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,9,,,,,,,37,27,,,,,,,1099,24,,,,,,,,,3160,36,,,1263,14,,,,,,,108,18,,,1179,15,,,,,,,,,,,,,,,,,157,9,,,,,,,,,,,76,23,,,,,,,,,,,,,,,83,74,192,34,,,,,,,,,,,414,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972,6,,,48,27,,,,,,,,,,,,,538,16,,,,,222,17,,,67,6,297,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27443,9860,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,36,,,,,,,44,21,,,4,7,55,16,597,42,,,,,,,,,939,92,6,28,533,26,22,11,,,,,84,27,,,468,36,,,,,,,,,,,,,,,,,,,,,,,67,12,,,,,,,,,,,,,,,,,,,,,375,28,,,,,,,,,,,,,2063,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,19,,,,,,,,,,,,,,,,,406,21,,,,,404,10,,,,,686,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2776,2
5072,9751,24,,,,,,,,,,,5,19,,,,,,,,,,,,,,,20,16,,,,,57,2,,,,,,,,,20,30,,,,,,,,,,,,,137,8,553,44,,,,,,,,,7092,16,7,23,88,63,,,,,,,,,,,397,42,,,,,,,,,,,,,9,2,,,,,182,2,,,,,,,,,,,,,,,236,7,,,,,,,,,98,66,255,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1,,,14,5,,,141,2,,,,,,,,,,,,,,,47,63,13,9,105,10,,,,,,,,,,,,,,,,,,,,,,,,,128,56,,,,,,,,,,,,,,,19,2,,,,,,,,,,,,,,,25,50,,,,,38,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,62
5432,9128,25,,,,,,,,,,,152,7,,,12,2,,,,,,,,,,,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,59,,,,,,,,,6058,19,,,962,18,,,,,101,7,14,86,,,239,61,,,,,,,,,,,,,5,4,,,142,10,53,4,,,,,,,,,,,,,,,268,6,,,,,,,,,112,58,74,56,,,,,,,,,,,16,43,,,,,,,,,,,,,,,,,28,7,,,,,,,18,4,,,20,3,,,,,,,,,,,,,,,96,44,12,10,60,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2,12,3,,,195,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,41
1111,9063,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,56,,,,,,,,,,,,,,,3630,8,,,,,83,7,,,3557,33,,,580,23,,,,,,,,,,,405,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6819,8805,27,,,,,,,,,,,,,,,,,,,,,,,,,,,32,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,14,5689,5,,,,,,,,,1562,62,7,24,,,,,,,,,27,47,,,310,51,,,,,,,,,,,,,,,,,32,31,,,,,,,,,,,,,,,,,,,,,,,5,4,,,76,80,,,,,,,,,,,,,10,52,,,,,,,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,76,49,,,68,18,,,,,,,,,,,,,436,19,,,,,45,39,,,,,150,51,,,,,,,,,,,,,,,,,14,19,,,,,,,,,,,,,62,32,,,51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,47
2281,8705,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,24,,,,,,,,,,,,,,,,,,,,,,,,,6743,17,,,1229,15,,,,,,,,,,,362,45,,,,,,,,,,,,,,,,,38,28,,,,,,,,,,,,,,,,,,,,,,,,,,,264,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,8486,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,,,,,,,103,14,,,,,,,936,29,,,,,,,,,4246,27,,,305,34,,,10,8,117,6,,,,,1067,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,35,,,,,,,,,,,,,,,376,27,337,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,22,,,47,28,,,,,,,,,,,,,348,23,,,,,119,26,,,,,,,,,,,,,,,,,,,,,,,8,23,,,,,,,12,11,,,,,103,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,46
