bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
811,20059,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,4,,,,,,,32,31,,,,,,,1870,15,,,,,,,,,5952,19,3,36,2320,7,,,,,,,149,19,,,1514,11,,,,,,,,,,,,,4,7,,,,,,,494,5,,,,,,,,,,,204,13,,,,,,,,,,,,,,,107,74,344,27,,,,,,,,,,,,,304,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1907,1,,,23,28,,,,,,,,,,,,,,,,,,,,,688,12,,,,,836,4,,,,,273,3,310,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2644,6
2243,19578,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,11,,,,,,,,,,,,,,,11,37,,,,,,,,,,,,,,,4524,3,,,,,,,,,5890,20,,,,,,,,,,,,,,,1811,7,,,,,,,,,,,,,,,,,,,,,,,,,,,180,9,,,,,154,16,,,,,,,,,,,,,,,702,18,146,43,,,,,,,,,,,,,17,43,,,,,,,,,,,,,,,,,60,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127,7,,,,,,,,,,,,,,,,,,,,,,,,,1469,6,,,,,677,6,,,,,30,10,1241,15,,,,,,,,,,,1,7,,,,,,,,,,,137,3,,,,,1244,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,38
320,18834,13,,,,,,,,,,,137,8,,,,,8,5,,,,,,,,,7,1,,,185,8,,,,,,,,,12,3,,,,,74,5,,,,,,,166,15,,,8,5,45,20,1754,17,,,,,184,6,,,7298,15,21,5,1434,14,29,10,,,56,16,225,11,,,1346,12,,,,,,,3,4,,,5,2,,,11,4,,,,,147,11,43,6,,,,,,,,,385,4,,,,,300,5,,,,,,,12,4,299,37,323,28,,,,,5,5,,,,,8,3,33,25,,,,,,,12,4,,,,,,,,,35,11,26,9,,,,,,,,,6,5,,,,,59,3,,,,,,,,,,,,,864,10,20,3,42,23,,,,,,,6,5,,,,,,,,,,,,,751,10,,,,,287,16,,,,,129,8,1336,14,,,,,,,,,,,,,7,2,,,,,,,95,6,84,5,,,,,,,,,,,90,24,,,,,22,4,,,6,4,,,16,14,,,,,21,19,,,14,1,61,12,,,,,,,,,22,14,,,,,,,,,,,4,5,,,,,,,,,,,256,26
13,18786,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,15,,,,,,,162,16,,,2,10,57,19,1388,22,,,,,42,9,,,9187,10,6,18,1754,10,,,4,9,,,61,32,,,666,24,,,,,,,,,,,,,,,,,,,,,638,2,,,,,,,,,,,195,14,,,,,,,,,,,,,,,447,27,1095,12,,,,,,,,,,,,,75,10,,,,,,,,,,,,,,,,,,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757,12,20,2,53,19,,,,,,,,,,,,,,,,,,,,,211,28,,,,,261,17,,,,,49,9,870,19,,,,,,,,,,,,,,,,,,,,,21,15,51,7,,,,,100,7,,,,,147,17,,,,,,,,,,,,,,,,,,,32,15,,,,,,,,,,,,,,,3,30,,,,,,,,,,,,,,,,,,,,,,,370,23
2425,18053,15,,,,,,,,,,,81,12,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,,,,55,10,,,,,,,161,17,,,,,144,10,1498,20,,,,,,,,,4412,23,10,9,1297,16,,,10,6,140,11,155,18,,,1163,15,,,,,,,,,,,,,,,,,,,,,124,16,,,,,,,,,,,214,10,,,,,,,,,,,,,,,1121,12,615,18,,,,,,,,,,,,,15,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,19,,,,,,,,,,,,,,,,,,,,,,,,,1053,8,,,,,543,8,,,,,296,2,3882,5,,,,,,,,,,,,,,,,,,,,,82,9,,,,,,,,,,,,,198,14,,,,,4,8,,,,,,,,,,,,,,,,,,,301,4,,,,,,,,,17,16,,,,,,,,,,,,,,,,,,,,,,,123,36
50381,17555,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,25,1433,21,,,,,,,,,12378,6,,,639,25,,,,,114,13,230,9,,,383,42,,,,,,,,,,,,,,,,,,,,,113,19,,,,,,,,,,,,,,,,,,,,,,,,,,,814,16,802,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,17078,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,5,,,,,,,,,,,,,,,,,,,,,,,505,6,,,,,,,3434,8,,,,,,,,,4409,24,5,21,289,38,,,,,1176,4,,,,,611,27,,,,,,,,,,,,,,,,,,,,,,,,,,,329,5,,,,,276,8,,,,,,,,,,,,,,,516,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3,,,,,,,,,,,,,,,,,,,,,1413,4,,,,,,,,,,,,,,,,,,,,,,,,,2873,4,,,,,,,,,,,,,101,68,,,,,,,,,,,,,,,,,15,7,,,172,2,,,,,5,2,,,7,3,,,427,7,,,,,,,,,,,,,,,,,,,52,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,100
181,16315,18,7,4,,,,,,,,,82,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,12,,,,,,,,,,,,,141,11,1860,16,,,,,,,,,8097,11,,,1935,9,,,4,10,,,95,27,,,851,19,,,,,,,,,,,,,,,,,,,,,118,18,,,,,338,4,,,,,108,20,,,,,,,,,,,,,,,310,34,160,42,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,15,,,45,22,,,,,,,,,,,,,,,,,,,,,252,24,,,,,130,24,,,,,,,562,23,,,,,,,,,,,,,,,,,241,2,,,,,,,,,,,,,,,,,217,12,,,,,,,,,,,,,10,15,,,,,20,20,,,,,27,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,33
25821,15074,19,,,,,,,,,,,270,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2894,10,,,,,,,,,892,102,24,3,1609,12,,,,,,,,,,,3522,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3111,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,7,,,,,,,,,,,,,,,,,,,,,,,1319,8
1294,15019,20,,,,,,,,,,,47,13,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,20,,,,,,,,,,,,,58,18,1152,24,,,,,,,,,6602,16,8,16,865,24,,,,,65,14,183,14,,,2420,5,,,,,,,,,,,,,11,3,,,,,,,139,13,,,,,,,,,,,130,18,,,,,29,14,,,,,8,4,,,1209,8,,,,,,,,,,,,,,,38,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,8,,,,,,,,,,,,,404,16,,,46,21,,,,,,,7,4,,,,,,,,,,,,,54,51,,,,,,,,,,,,,994,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,13,,,,,,,,,,,,,24,11,,,,,18,23,,,,,18,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,29
3886,13343,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,3,,,,,,,,,,,,,,,19,26,,,,,,,248,10,,,,,111,12,4385,4,,,,,,,,,2024,54,5,23,427,33,12,14,,,153,10,214,12,,,462,35,,,,,6,3,,,,,,,,,,,,,,,28,36,,,,,,,,,,,940,2,,,,,,,,,,,,,,,1205,9,103,54,,,,,,,,,,,,,19,38,,,,,,,,,11,2,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,38,11,7,134,10,,,,,,,,,,,,,,,,,,,,,345,22,,,,,394,11,,,,,219,4,218,42,,,,,,,,,,,,,,,,,,,,,87,7,14,14,,,,,743,2,,,,,58,36,,,,,,,,,,,,,,,,,,,30,16,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,52
5072,11985,22,,,,,,,,,,,1,23,,,,,,,,,,,,,,,,,,,26,16,,,,,134,2,,,,,,,,,12,36,,,,,,,,,,,,,177,7,650,48,,,,,,,,,7624,14,8,17,80,78,,,,,,,,,,,322,45,,,,,,,,,,,,,,,34,2,,,,,,,1005,2,,,,,,,,,,,,,,,145,8,,,,,,,,,117,68,403,25,,,,,,,,,,,,,18,41,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,37,2,,,519,2,39,7,,,,,,,,,,,,,54,60,7,9,137,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,62,,,,,,,,,,,,,,,,,,,16,2,,,,,,,,,,,,,,,43,43,,,,,203,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,72
27443,11891,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,23,,,,,,,61,25,,,11,4,36,28,1070,27,,,,,,,,,418,169,10,10,448,32,40,6,,,,,100,26,,,546,31,,,,,,,,,,,,,,,,,,,,,33,33,,,,,39,13,,,,,,,,,,,,,,,,,,,,,439,28,2300,9,,,,,,,,,,,,,463,3,,,,,,,,,,,,,,,,,,,60,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,28,,,,,,,,,,,,,,,,,,,,,,,,,359,21,,,,,152,20,,,,,,,893,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,10,,,,,,,,,,,56,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4094,2
822,9718,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,14,,,,,,,,,,,,,,,19,25,,,,,,,140,19,,,5,6,25,37,1112,26,,,,,19,12,,,3556,30,8,15,539,29,,,,,,,226,10,,,597,29,,,,,,,,,,,,,,,,,,,,,38,30,,,,,,,,,,,131,17,,,,,,,,,,,,,,,502,24,295,31,,,,,,,,,,,,,107,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,20,4,13,41,26,,,,,,,,,,,,,,,,,,,,,410,18,,,,,139,21,,,,,,,768,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,19,,,,,,,,,,,,,,,,,,,,,,,,,3,45,,,,,,,,,17,15,,,,,,,,,,,,,,,,,,,,,,,528,17
39856,9131,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,7,,,,,,,,,,,,,,,69,6,,,,,,,91,22,,,,,29,34,694,44,,,,,,,,,2157,53,,,1731,11,,,,,,,,,,,650,26,,,,,,,,,,,,,,,,,,,,,164,10,,,,,,,,,,,114,19,,,,,,,,,,,,,,,1431,7,,,,,,,,,,,,,,,32,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,46,,,,,,,,,,,,,,,,,,,,,237,27,,,,,,,,,,,,,1107,16,,,,,,,,,,,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,30
