bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
2093,31192,11,,,,,,,,,,,43,10,,,,,,,9,4,,,,,,,,,27,14,,,,,11,4,11,2,,,,,,,40,13,3,2,,,,,100,17,,,,,32,26,1618,36,,,,,,,,,12456,14,25,2,1149,18,,,,,43,10,87,27,,,872,36,,,,,,,8,2,,,,,,,52,24,10,6,,,30,13,,,,,119,22,,,,,145,10,,,,,,,,,817,29,6815,2,12,2,,,,,13,3,,,284,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,6,,,,,,,,,,,,,425,21,,,69,25,,,,,,,,,,,,,231,28,,,,,395,13,,,,,1394,21,,,,,14,2,,,,,,,,,,,33,13,10,11,,,,,,,13,1,,,243,16,,,,,,,,,237,3,,,,,69,22,,,,,31,16,,,,,,,,,279,3,,,,,,,,,,,52,1,,,,,,,2825,2
320,29984,12,,,,,,,,,,,149,7,,,,,,,,,,,,,,,,,286,6,,,,,,,,,20,3,,,,,70,7,,,,,,,190,12,,,16,3,47,20,2835,22,,,,,290,6,,,10911,18,21,3,1763,12,72,6,,,,,482,5,,,2969,9,,,,,14,2,,,14,2,,,14,2,62,20,16,4,,,,,,,,,872,4,,,,,255,5,,,,,,,17,3,600,39,469,25,,,18,2,,,,,14,2,54,16,,,,,,,19,2,,,,,,,61,10,,,,,,,,,5,5,,,,,85,3,,,,,,,,,,,,,1373,8,29,2,84,23,,,,,,,,,,,,,1341,8,,,,,369,15,,,145,7,2661,9,,,,,,,,,17,2,,,,,,,156,5,127,4,,,,,,,,,,,122,29,,,,,10,7,16,2,33,8,,,,,309,10,,,13,1,203,5,,,,,,,,,49,9,,,,,,,,,,,,,,,,,,,217,24
29351,28703,13,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4036,16,,,,,,,,,6287,39,,,229,46,164,2,,,,,126,23,,,212,80,,,,,,,,,,,,,,,180,8,,,,,,,,,,,84,24,17,5,,,,,,,,,,,,,,,118,49,,,,,,,,,,,,,,,,,,,,,,,,,,,477,2,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,76,60,,,,,,,,,,,,,,,,,760,17,,,,,,,,,,,14355,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,54,,,,,,,,,,,,,,,,,,,,,1176,1,,,,,,,,,239,5,,,,,,,,,,,,,,,,,,,,
463,28288,14,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,36,12,,,,,,,,,3,6,,,,,22,21,,,,,,,311,9,,,,,91,12,2368,25,,,,,,,,,14132,10,,,,,15,12,,,,,154,20,,,,,,,,,,,,,,,,,,,58,21,,,,,23,15,,,,,156,21,,,,,38,11,,,,,,,,,1016,27,5097,3,,,,,,,,,,,73,13,,,,,,,,,,,,,,,26,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,22,9,7,64,27,,,,,,,,,,,,,536,22,,,,,906,6,,,,,1964,14,,,,,,,,,,,,,,,,,,,26,10,,,,,7,9,,,,,162,22,,,,,,,,,30,9,,,,,76,21,,,,,36,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,14
811,27669,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,2,,,,,,,64,20,,,,,,,3247,19,,,,,,,,,9635,24,,,4391,6,,,,,,,329,9,,,2731,10,,,,,,,,,,,,,,,238,6,,,,,,,,,,,268,17,,,,,,,,,,,,,,,224,60,487,24,,,,,,,,,,,641,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304,3,,,104,21,,,,,,,,,,,,,1175,12,,,,,843,7,,,195,5,686,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2162,26239,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,,22,22,,,,,,,156,15,,,,,10,45,1580,37,,,,,,,,,11396,16,,,,,,,,,,,77,31,,,1179,28,,,4,4,,,,,,,,,,,22,34,,,,,,,,,,,206,19,,,,,,,,,,,,,9,7,659,37,5,96,,,,,6,4,,,,,112,11,,,,,,,,,,,,,,,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,47,7,11,,,,,,,,,,,,,,,812,16,,,,,207,26,,,15,11,8762,3,,,,,,,,,,,,,13,5,,,,,9,12,,,,,,,,,,,91,32,,,,,,,,,,,,,,,53,23,,,,,113,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,9
822,25817,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,10,,,,,,,,,,,,,,,52,8,,,,,,,,,,,4,9,20,35,3167,20,,,,,,,,,9186,25,14,6,1726,13,,,,,,,693,4,,,1330,22,,,,,,,,,,,,,,,39,26,,,,,,,,,,,538,10,,,,,,,,,,,,,,,1819,15,1181,13,,,,,,,,,,,45,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,9,4,16,153,16,,,,,,,,,,,,,1868,4,,,,,148,27,,,,,1435,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593,8,,,,,,,,,,,,,,,,,,,,,6,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,8
2181,25493,18,,,,,,,,,,,,,,,,,,,,,,,17,2,,,,,272,7,,,,,,,,,,,,,,,23,20,,,,,,,172,13,,,,,206,5,2183,27,,,,,168,8,,,8177,28,13,9,1222,17,99,4,13,3,,,223,15,,,1657,18,,,,,,,,,,,,,,,215,7,,,,,88,10,,,,,301,16,,,,,180,7,,,,,,,24,2,117,86,1004,16,,,,,14,3,,,,,36,21,,,,,,,,,,,,,,,85,8,37,7,,,,,,,,,,,,,,,,,,,,,,,,,,,731,15,14,4,194,11,,,,,,,,,,,,,1680,6,,,,,334,17,,,220,4,2206,13,,,,,,,11,3,,,,,,,,,91,9,35,8,,,,,,,8,2,,,1207,2,,,,,,,,,119,5,,,,,806,6,,,,,163,7,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1117,7
1111,23899,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,32,,,,,,,,,,,,,,,4428,13,,,,,179,7,,,10415,21,,,1396,15,,,,,,,,,,,1029,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6438,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25821,20974,20,,,,,,,,,,,90,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7056,7,,,,,,,,,1,960,8,17,,,,,,,,,,,,,6725,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2571,2,,,,,,,,,,,,,,,,,,,,,,,23,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39856,20800,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,5,,,,,,,,,,,,,,,80,6,,,,,,,235,11,,,,,18,38,2046,29,,,,,,,,,7390,34,,,,,,,,,,,,,,,2489,14,,,,,,,,,,,,,,,87,18,,,,,,,,,,,405,14,,,,,,,,,,,,,,,2902,10,,,,,,,,,,,,,12,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,34,,,,,,,,,,,,,1285,11,,,,,,,,,,,2951,8,,,,,,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,16
2136,20346,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,8,,,,,,,,,,,,,,,,,,,,,,,489,6,,,,,,,7994,6,,,,,,,,,4885,42,11,10,241,45,,,,,227,4,,,,,426,53,,,,,,,,,,,,,,,,,,,,,272,5,,,,,512,13,,,,,,,,,,,,,,,1099,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,1487,7,,,,,,,,,,,,,,,,,1409,7,,,,,,,,,,,76,72,,,,,,,,,,,,,,,,,269,2,,,,,,,,,5,3,,,301,15,,,,,,,,,,,,,,,381,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,73
2952,19675,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,14,,,,,,,,,,,,,176,8,3066,21,,,,,,,,,8211,27,8,15,1426,14,,,9,7,,,354,8,,,1709,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,,,,,,,,2795,11,36,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665,16,,,223,9,,,,,,,,,,,,,,,,,,,225,23,,,,,187,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,17380,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,24,,,,,,,4631,12,,,,,,,,,12601,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9209,14907,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,35,,,,,,,,,,,,,48,19,984,52,,,,,,,,,10628,19,,,60,83,,,,,,,215,16,,,8,334,,,,,,,,,,,,,,,,,,,,,,,,,,,67,27,,,,,,,,,,,,,,,763,30,4,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,510,20,6,12,274,8,,,,,,,,,,,,,598,21,,,,,,,,,,,452,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,17,,,,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,
27443,14604,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,43,,,,,,,55,23,,,12,6,35,24,1002,51,,,,,,,,,1051,120,6,26,592,26,37,8,,,,,138,21,,,510,52,,,,,,,,,,,,,,,,,,,,,36,12,,,,,,,,,,,,,,,,,,,,,3758,9,,,,,,,,,,,,,2160,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,33,,,,,,,,,,,,,,,,,380,26,,,,,394,14,,,,,1638,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2518,4
2425,14482,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,11,39,,,,,,,,,,,,,71,16,1209,45,,,,,,,,,4612,44,5,33,887,22,,,7,10,73,8,168,19,,,1187,27,,,,,,,,,,,,,,,136,14,,,,,,,,,,,,,,,,,,,,,,,,,,,732,32,821,17,,,,,,,,,,,21,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,32,,,,,,,,,,,,,,,,,644,20,,,,,291,19,,,157,6,2565,10,,,,,,,,,,,,,,,,,109,7,,,,,,,,,,,,,228,18,,,,,19,5,,,,,,,,,,,,,,,139,9,,,,,,,,,15,11,,,,,,,,,,,,,,,,,,,107,29
41114,14168,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14067,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,13996,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,38,,,,,,,,,,,,,,,1507,39,,,,,,,,,7605,32,,,1289,16,,,,,,,,,,,1416,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
