bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2162,23586,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,11,48,,,,,,,125,18,,,,,22,32,1386,22,,,,,,,,,,,10993,8,,,714,28,,,,,,,142,19,,,,,838,21,,,,,5,4,,,,,,,,,,,,,,,,,27,42,,,,,,,,,,,159,12,,,,,,,14,17,,,,,,,4,9,798,32,174,45,,,,,,,8,4,,,,,70,16,,,,,,,,,,,,,,,,,19,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,49,7,11,,,,,,,,,,,,,,,,,,,,,,,475,18,,,,,195,27,,,,,17,11,5359,3,,,,,,,,,,,,,,,,,7,8,,,,,7,16,,,,,13,14,,,,,109,22,,,,,,,,,,,,,,,,,,,24,29,,,,,134,8,,,,,,,,,10,30,,,,,,,,,,,,,,,,,,,,,,,1633,8
463,22381,12,12,4,5,4,,,,,,,,,,,,,,,6,6,,,,,,,,,,,23,16,,,,,,,,,6,3,,,,,22,25,,,,,,,213,13,,,,,47,20,1880,16,,,,,,,,,,,10000,9,3,40,918,25,23,13,4,12,27,19,81,30,,,,,1079,17,,,,,,,,,,,,,,,,,,,,,,,104,23,,,,,22,14,,,,,64,22,,,,,,,41,12,,,,,,,,,840,28,2276,7,,,,,,,,,,,,,32,25,,,,,,,3,9,,,,,,,,,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,27,4,13,32,28,,,,,,,,,,,,,,,,,,,,,295,23,,,,,891,5,,,,,,,1183,14,,,,,,,,,,,,,,,,,,,,,,,9,15,,,,,12,15,,,,,120,20,,,,,,,,,,,,,51,9,,,,,49,18,,,,,44,17,,,,,,,,,58,13,,,,,,,,,,,,,,,,,,,,,,,1619,9
811,22048,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,3,,,,,,,11,49,,,,,,,1835,17,,,,,,,,,,,5771,20,5,21,2863,7,,,,,,,174,16,,,,,1673,11,,,,,,,,,,,,,,,7,3,,,,,,,1061,4,,,,,,,,,,,168,11,,,,,,,,,,,,,,,,,353,51,529,22,,,,,,,,,,,,,406,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1546,2,,,25,30,,,,,,,,,,,,,,,,,,,,,1118,9,,,,,348,17,,,,,381,2,338,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3288,2
29351,21855,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3,,,,,,,,,,,,,,,,,,,,,,,,,145,15,,,,,,,3254,8,,,,,,,,,,,3532,31,,,267,45,130,3,,,,,106,26,,,,,350,48,,,,,,,,,,,,,,,,,,,,,,,340,7,,,,,,,,,,,48,26,27,5,,,,,,,,,,,,,,,,,160,47,,,,,,,,,,,,,12,55,,,,,,,,,,,,,,,,,295,3,125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,32,,,,,,,,,,,,,,,,,,,,,,,,,1346,8,,,,,,,,,,,,,9838,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,39,,,,,,,,,,,,,,,,,,,,,,,,,838,1,,,,,,,,,679,5,,,,,,,,,,,,,,,,,,,,,,,127,37
13,20361,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,8,,,,,,,144,16,,,4,8,37,24,1533,20,,,,,,,112,8,,,8679,11,7,12,1869,12,,,3,16,,,50,36,,,5,2,754,23,,,,,,,,,,,,,1,4,,,,,,,,,1083,3,,,,,,,,,,,150,13,,,5,1,,,,,,,,,,,,,814,30,1602,11,,,,,,,,,,,,,95,13,,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035,7,9,8,75,18,,,,,,,,,,,,,,,,,,,,,248,25,,,,,412,14,,,,,48,9,835,18,,,,,,,,,,,,,,,,,,,,,20,14,38,9,,,,,50,8,,,,,166,13,,,,,,,,,,,,,,,,,,,33,23,,,,,,,,,,,,,,,38,17,,,,,,,,,,,,,,,,,,,,,,,332,23
2243,20293,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,12,,,,,,,,,,,,,,,14,40,,,,,,,,,,,,,,,4415,2,,,,,,,,,,,5855,19,,,,,,,,,,,,,,,,,1852,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,7,,,,,129,14,,,,,,,,,,,,,,,,,1760,16,296,34,,,,,,,,,,,,,22,33,,,,,,,,,,,,,,,,,75,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943,9,,,,,,,,,,,,,,,,,,,,,,,,,2062,5,,,,,450,12,,,,,44,10,886,16,,,,,,,,,,,9,5,,,,,,,,,,,163,3,,,,,1021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,50
320,20074,17,,,,,,,,,,,133,11,,,,,4,6,,,,,,,,,9,1,,,145,7,,,,,,,,,4,8,,,,,43,12,,,,,,,97,21,,,14,3,50,18,1882,15,,,,,,,482,5,,,6409,18,16,3,1536,16,44,8,,,58,17,288,9,,,,,2109,5,,,,,9,2,4,3,,,,,7,2,,,25,3,,,,,114,20,68,6,,,,,,,,,358,4,,,,,,,325,5,,,,,,,7,7,858,27,293,35,,,,,5,5,,,,,14,3,51,19,,,,,,,12,4,,,,,,,,,55,10,24,10,,,,,,,,,8,7,,,,,120,3,,,,,,,,,,,,,1027,8,18,3,85,15,,,,,,,3,5,,,,,,,,,,,,,951,12,,,,,399,15,,,,,167,6,980,15,,,,,,,,,,,,,6,3,,,,,,,82,9,108,4,,,,,23,12,,,,,70,28,,,,,12,5,,,,,,,35,10,,,,,35,21,,,19,1,27,22,,,,,,,,,47,15,,,,,,,,,,,5,8,,,,,,,,,,,295,25
181,18832,18,13,3,,,,,,,,,245,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,24,,,,,,,,,,,,,176,5,2037,14,,,,,,,,,,,8416,12,,,3264,6,,,9,5,,,42,41,,,,,1052,18,,,,,,,,,,,,,,,,,,,,,,,144,15,,,,,350,4,,,,,58,24,,,,,,,,,,,,,,,,,579,39,199,42,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,57,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,18,,,80,16,,,,,,,,,,,,,,,,,,,,,264,24,,,,,152,31,,,,,,,586,22,,,,,,,,,,,,,,,,,202,2,,,,,,,,,4,4,,,,,,,198,11,,,,,,,,,,,,,11,16,,,,,56,17,,,,,27,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,27
25821,18764,19,,,,,,,,,,,363,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051,12,,,,,,,,,,,1087,94,13,5,1650,15,,,,,,,,,,,,,7313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2334,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,7,,,,,,,,,,,,,,,,,,,,,,,2104,6
2136,17885,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,6,,,,,,,,,,,,,,,,,,,,,,,540,3,,,,,,,3769,7,,,,,,,,,,,4296,27,15,4,236,47,,,,,2058,4,,,,,,,530,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,6,,,,,255,6,7,7,,,,,,,,,,,,,,,1108,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3,,,,,,,,,,,,,,,,,,,,,1196,3,,,,,,,,,,,,,,,,,,,,,,,,,2396,4,,,,,,,,,,,,,89,72,,,,,,,,,,,,,,,,,12,7,,,268,2,,,,,8,3,,,7,3,,,331,7,,,,,,,,,,,,,,,,,,,142,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,49
1294,17277,21,,,,,,,,,,,33,17,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,17,,,,,,,,,,,,,48,19,1195,23,,,,,,,,,,,7338,14,4,29,1186,21,,,3,17,119,13,128,21,,,,,1931,7,,,,,,,,,,,,,,,5,4,,,,,,,234,9,,,,,,,,,,,116,15,,,,,,,30,13,,,,,4,6,,,2964,8,,,,,,,,,,,,,,,335,5,,,,,,,,,,,,,,,,,,,20,11,,,,,,,,,,,,,,,6,10,,,,,,,,,,,,,415,17,,,26,29,,,,,,,3,6,,,,,,,,,,,,,55,47,,,,,,,,,,,,,633,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,18,,,,,128,19,,,,,,,,,,,,,28,12,,,,,25,28,,,,,15,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,28
3886,15631,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,4,,,,,,,,,,,,,,,23,22,,,,,,,259,8,,,,,65,14,3867,5,,,,,,,,,,,2264,49,3,42,505,35,32,11,4,14,451,7,287,10,,,,,496,40,,,,,3,5,,,,,,,,,,,,,,,,,29,40,,,,,,,,,,,653,2,,,,,,,,,,,,,,,,,2832,9,150,50,,,,,,,,,,,,,12,52,,,,,,,,,11,2,,,5,20,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,38,2,17,142,9,,,,,,,,,,,,,,,,,,,,,482,17,,,,,787,6,,,,,289,4,253,41,,,,,,,,,,,,,,,,,,,,,119,7,41,8,,,,,580,2,,,,,82,27,,,,,,,,,,,,,,,,,,,229,8,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,60
50381,14023,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,33,924,28,,,,,,,,,,,9352,10,,,513,33,,,,,86,15,82,29,,,,,202,63,,,,,,,,,,,,,,,,,,,,,,,128,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2328,12,77,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2952,11034,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,13,,,,,,,,,,,,,103,12,865,33,,,,,,,,,,,3015,38,4,33,1056,24,,,6,11,,,171,17,,,,,884,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,18,,,,,,,12,4,4022,7,32,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,26,,,100,13,,,,,,,,,,,,,,,,,,,,,,,,,,,146,32,,,,,,,144,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
