bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,ary,ary_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
29351,22676,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,,,,,,,,,,,,,,,7,58,,,,,,,188,13,,,,,,,3476,5,,,,,,,,,,,3067,32,,,178,48,142,2,,,,,157,20,,,,,406,45,,,,,,,,,,,,,,,,,,,,,,,242,9,,,,,,,,,,,59,22,25,6,,,,,,,,,,,,,,,,,79,57,,,,,,,,,,,,,10,68,,,,,,,,,,,,,,,,,,,384,1,123,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,27,,,,,,,,,,,,,,,,,,,,,,,,,936,6,,,,,,,,,,,,,11132,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,36,,,,,,,,,,,,,,,,,,,,,,,,,,,970,1,,,,,,,,,645,4,,,,,,,,,,,,,,,,,,,,,,,101,45
811,22371,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,3,,,,,,,7,65,,,,,,,1735,13,,,,,,,,,,,7273,12,8,12,790,19,,,,,,,297,7,,,,,2531,8,,,,,,,,,,,,,,,4,8,,,,,,,584,4,,,,,,,,,,,148,12,,,,,,,,,,,,,,,,,90,67,299,24,,,,,,,,,,,,,558,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1607,4,,,45,23,,,,,,,,,,,,,,,,,,,,,399,16,,,,,367,12,,,,,229,4,402,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,19,,,,,45,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4815,2
2243,20554,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,13,,,,,,,,,,,,,,,11,41,,,,,,,,,,,,,,,3855,4,,,,,,,,,,,6622,14,,,,,,,,,,,7,118,,,,,1902,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,6,,,,,172,10,,,,,,,,,,,,,,,,,672,13,515,18,,,,,,,,,,,,,13,57,,,,,,,,,,,,,,,,,,,64,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139,1,,,,,,,,,,,4,7,,,,,,,,,,,,,1475,4,,,,,385,11,,,,,40,11,1228,14,,,,,,,,,,,5,5,,,,,,,,,,,203,3,,,,,751,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,35
2425,15848,14,,,,,,,,,,,154,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,15,30,,,,,,,188,12,,,,,69,15,1153,18,,,,,,,,,,,5329,20,7,17,1058,16,,,9,6,163,8,192,16,,,,,1077,16,,,,,19,3,,,,,,,,,,,,,,,,,120,13,,,,,,,,,,,141,13,20,7,,,,,,,,,,,,,,,548,15,395,21,,,,,,,,,,,,,22,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,25,,,,,,,,,,,,,,,,,,,,,,,,,671,8,,,,,703,6,,,,,132,7,2527,11,,,,,,,,,,,,,,,,,,,,,68,9,,,,,,,,,,,,,109,26,,,,,4,8,,,,,,,,,,,,,,,119,13,,,,,244,5,,,,,,,,,42,18,,,,,,,,,,,,,,,,,,,,,,,233,31
320,15844,15,,,,,,,,,,,134,15,,,,,,,,,9,6,,,,,,,,,,,,,10,1,,,107,8,,,,,,,,,18,3,,,,,34,14,,,,,,,126,18,,,10,4,36,24,1132,20,,,,,,,95,7,,,5323,21,12,5,1062,15,25,9,7,10,78,15,255,9,,,,,2652,7,,,,,22,2,7,3,,,,,12,2,14,3,20,3,,,,,71,23,71,5,,,,,,,,,240,8,,,,,,,180,8,,,,,,,9,8,218,37,241,29,,,,,21,2,,,,,13,3,37,22,,,,,,,60,2,,,,,,,,,,,34,8,11,13,,,,,,,,,15,6,,,,,238,3,,,,,,,,,,,,,824,11,16,6,52,21,,,,,,,18,4,,,,,,,,,,,,,397,17,,,,,186,20,,,,,100,9,802,17,,,,,,,,,,,,,3,3,,,,,,,82,7,87,6,,,,,29,13,,,,,68,35,,,,,9,6,,,,,,,30,12,,,,,17,3,27,27,,,12,1,28,24,,,,,,,,,113,13,,,,,,,,,,,3,11,,,,,,,,,,,282,26
13,14758,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,9,,,,,,,119,19,,,6,7,57,19,1049,21,,,,,,,52,11,,,6250,15,5,20,1647,7,,,8,7,,,50,39,,,3,2,538,34,,,,,,,,,,,,,1,4,,,,,,,,,493,5,,,,,,,,,,,105,15,,,3,1,,,,,,,,,,,,,257,29,997,13,,,,,,,,,,,,,49,17,,,,,,,,,,,,,,,,,,,,,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723,13,24,3,55,20,,,,,,,,,,,,,,,,,,,,,166,24,,,,,305,14,,,,,44,10,690,18,,,,,,,,,,,,,,,,,,,,,13,22,64,8,,,,,77,10,,,,,228,12,,,,,,,,,,,,,,,,,,,,,19,29,,,,,35,21,,,,,,,,,29,20,,,,,,,,,,,,,,,,,,,,,,,524,19
25821,14451,17,,,,,,,,,,,688,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2387,9,,,,,,,,,,,1006,92,12,6,942,17,,,,,,,,,,,,,4975,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1858,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,11,,,,,,,,,,,,,,,,,,,,,,,442,21
1294,13731,18,,,,,,,,,,,47,23,,,,,,,,,17,4,,,,,,,,,,,,,,,,,15,17,,,,,,,,,,,,,,,26,18,,,,,,,,,,,,,66,16,712,26,,,,,,,,,,,7694,10,4,25,753,21,,,6,12,109,11,177,18,,,,,1413,13,,,,,,,,,,,,,,,6,7,,,,,,,145,10,,,,,,,,,,,86,20,,,,,,,29,13,,,,,11,3,6,10,686,11,,,,,,,,,,,,,,,126,10,,,,,,,,,,,,,,,,,,,,,20,10,,,,,,,6,4,,,,,,,6,11,,,,,,,,,,,,,483,15,,,40,25,,,,,,,5,6,,,,,,,,,,,,,27,59,,,,,,,,,,,,,421,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,11,,,,,188,14,,,,,,,,,,,,,41,10,,,,,,,19,30,,,,,23,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,29
2136,12870,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,7,,,,,,,,,,,,,,,,,,,,,,,286,8,,,,,,,2253,11,,,,,,,,,,,3915,28,7,16,207,43,,,,,2171,4,,,,,,,362,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,9,,,,,194,9,7,12,,,,,,,,,,,,,,,324,26,,,,,,,,,,,,,,,9,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,,,,,,,,,,,,,,,,,,,,,1024,8,,,,,,,,,,,,,,,,,,,,,,,,,656,9,,,,,,,,,,,,,155,52,,,,,,,,,,,,,,,,,9,8,,,142,4,,,,,6,4,195,4,6,3,,,399,8,,,,,,,,,,,,,,,,,,,,,188,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,50
3886,11244,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,5,,,,,,,,,,,,,,,72,4,,,,,,,216,10,,,,,139,9,2755,7,,,,,,,,,,,2299,47,10,9,351,34,10,13,7,11,138,10,200,14,,,,,775,22,,,,,6,5,,,,,,,,,,,,,,,,,27,43,,,,,,,,,,,687,3,,,,,,,,,,,,,,,,,969,9,184,38,,,,,,,,,,,,,25,33,,,,,,,,,11,2,,,24,1,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,30,4,14,114,11,,,,,,,,,,,,,,,,,,,,,248,20,,,,,364,13,,,,,169,5,238,40,,,,,,,,,,,,,,,,,,,,,90,6,21,13,,,,,355,2,,,,,111,25,,,,,,,,,,,,,,,,,,,,,86,16,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,51
181,11221,21,13,3,,,,,,,,,304,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,12,,,,,,,,,,,,,158,8,1023,22,,,,,,,,,,,5742,19,,,834,18,,,7,9,,,57,35,,,,,778,21,,,,,,,,,,,,,,,,,,,,,,,100,19,,,,,174,8,,,,,57,23,,,,,,,,,,,,,,,,,171,40,85,55,,,,,,,,,,,,,,,,,,,,,5,7,,,,,,,,,,,25,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,26,,,50,22,,,,,,,,,,,,,,,,,,,,,118,28,,,,,96,29,,,,,,,454,25,,,,,,,,,,,,,,,,,167,2,,,,,,,,,6,3,,,,,,,179,17,,,,,,,,,,,,,17,16,,,,,,,33,26,,,,,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,33
5072,11172,22,,,,,,,,,,,340,8,,,,,,,,,,,,,,,,,,,,,,,,,,,15,18,,,,,232,2,,,,,,,,,12,40,,,,,,,,,,,,,92,11,397,50,,,,,,,,,,,7355,11,2,42,125,58,,,,,24,21,,,,,,,474,39,,,,,,,,,,,,,,,,,44,2,,,,,,,401,2,,,,,,,,,,,,,,,,,130,9,,,,,,,,,133,51,222,32,,,,,,,,,,,,,18,43,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1,,,148,2,,,203,2,120,4,,,,,,,,,,,,,49,69,8,11,124,10,,,,,,,,,,,,,,,,,,,,,,,,,,,40,44,,,,,,,82,71,,,,,,,,,,,,,,,,,,,58,2,,,,,,,,,,,,,,,48,45,,,,,150,2,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,59
178900,9127,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,67,,,,,,,62,26,,,,,,,369,54,,,,,,,,,,,5965,16,,,,,,,,,,,,,,,,,466,40,,,,,,,,,,,,,,,,,,,,,,,297,7,,,,,,,,,,,18,40,,,,,,,,,,,,,,,,,145,50,1044,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,66,,,,,,,,,,,,,,,,,,,,,,,,,119,27,,,,,,,,,,,,,529,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
