,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,50381,23472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22251,2,,,,,,,,,11,17,166,7,,,,,,,,,,,,,,,,,,,,,,,82,13,,,,,,,,,,,,,,,,,,,,,,,,,,,847,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,2243,17617,,,,,,,,,,,,,,,,,,,,,,,,,,,23,14,,,,,,,,,,,,,,,6,46,,,,,,,,,,,,,,,4618,4,,,,,,,,,7042,16,,,,,,,,,,,,,,,1835,5,,,,,,,,,,,,,,,,,,,,,,,,,72,10,,,,,173,9,,,,,,,,,,,,,,,648,14,191,31,,,,,,,,,,,,,11,45,,,,,,,,,,,,,35,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936,5,,,,,,,,,,,,,,,,,,,74,35,,,,,463,10,,,32,9,883,16,,,,,,,4,4,,,,,,,,,,,66,3,,,,,435,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,36
12,13,181,16895,9,4,,,,,,,,,292,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,10,,,,,,,,,,,,,109,7,1400,16,,,,,,,,,9857,10,,,1556,10,,,6,8,,,88,18,,,817,15,,,,,,,,,,,,,,,,,,,127,11,,,,,172,5,,,,,119,14,,,,,,,,,,,,,,,204,39,161,36,,,,,,,,,,,,,,,,,,,6,6,,,,,,,24,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,18,,,59,10,,,,,,,,,,,,,,,202,24,,,,,165,21,,,,,631,21,,,,,,,,,,,,,47,3,,,,,,,,,1,3,,,,,,,209,8,,,,,,,,,,,13,11,,,,,140,11,,,,,16,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,24
13,14,320,16779,,,,,,,,,,,129,7,,,,,,,,,,,,,,,75,9,,,,,,,,,21,3,,,,,53,4,,,,,,,99,12,,,20,2,26,22,967,22,,,,,112,6,,,8004,12,24,2,1206,13,36,5,,,20,14,155,8,,,1458,9,,,,,,,9,2,,,10,2,,,15,2,,,57,24,52,4,,,,,,,,,167,10,,,,,351,5,,,,,,,15,2,163,49,423,23,,,,,18,3,,,,,15,2,60,13,,,,,18,2,,,,,,,26,9,,,,,,,,,11,4,,,,,74,3,,,,,,,,,,,,,610,10,15,2,43,16,,,,,,,,,,,,,,,371,14,,,,,190,19,,,65,7,900,14,,,,,,,,,12,2,,,,,,,50,9,53,5,,,,,,,,,,,86,20,,,,,23,4,14,3,,,21,10,,,,,129,12,,,12,1,58,9,,,,,,,,,38,10,,,,,,,,,,,,,,,,,,,,,200,22
14,15,13,14237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,9,,,,,,,95,13,,,6,6,27,21,953,23,,,,,,,,,7663,13,4,21,1279,12,,,3,12,,,,,3,2,595,23,,,,,,,,,,,1,4,,,,,,,314,6,,,,,,,,,,,125,12,,,,,,,,,,,,,,,335,29,993,12,,,,,,,,,,,,,127,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,105,10,3,33,20,,,,,,,,,,,,,,,216,21,,,,,275,14,,,21,10,599,22,,,,,,,,,,,,,,,,,12,16,25,7,,,,,48,6,,,,,117,17,,,,,,,,,,,,,,,,,32,25,,,,,,,,,,,,,,,9,15,,,,,,,,,,,,,,,,,,,,,281,17
15,16,1294,12710,,,,,,,,,,,60,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,23,,,,,,,,,,,,,48,12,628,33,,,,,,,,,7226,15,10,4,682,23,,,,,,,92,17,,,1444,10,,,,,,,,,,,,,,,,,,,146,10,,,,,,,,,,,125,13,,,,,39,11,,,,,2,5,,,841,10,,,,,,,,,,,,,,,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,,,,,,,,,,303,15,,,27,25,,,,,3,6,,,,,,,,,46,48,,,,,,,,,,,498,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,13,,,,,,,,,,,,,,,,,74,17,,,,,6,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,20
16,17,25821,12063,,,,,,,,,,,54,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2879,6,,,,,,,,,351,176,8,8,1306,11,,,,,,,,,,,3192,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2996,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255,2,,,,,,,,,,,,,,,,,,,,,,,,,22,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,2425,11230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,12,28,,,,,,,,,,,,,70,11,947,24,,,,,,,,,3953,23,10,6,934,17,,,4,10,88,8,135,11,,,742,17,,,,,,,,,,,,,,,,,,,76,15,,,,,,,,,,,55,25,,,,,,,,,,,,,,,483,21,634,16,,,,,,,,,,,,,11,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,26,,,,,,,,,,,,,,,,,,,222,20,,,,,573,9,,,79,5,1673,10,,,,,,,,,,,,,,,,,56,7,,,,,,,,,,,,,88,19,,,,,13,7,,,,,,,,,,,,,,,,,61,8,,,,,,,,,10,14,,,,,,,,,,,,,,,,,,,,,150,25
18,19,27443,10815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,33,,,,,,,66,17,,,,,38,17,614,35,,,,,,,,,730,106,2,38,690,22,16,9,,,,,64,27,,,352,40,,,,,,,,,,,,,,,,,,,,,,,,,22,14,,,,,,,,,,,,,,,,,,,,,428,24,1734,10,,,,,,,,,,,,,2182,1,,,,,,,,,,,,,,,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,154,25,,,,,,,,,,,,,,,,,,,259,16,,,,,271,15,,,,,695,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457,1
19,20,811,10002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,3,,,,,,,28,22,,,,,,,1205,18,,,,,,,,,3689,28,,,1635,8,,,,,,,78,22,,,790,16,,,,,,,,,,,,,,,,,,,329,4,,,,,,,,,,,70,24,,,,,,,,,,,,,,,88,68,178,34,,,,,,,,,,,,,232,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744,7,,,13,35,,,,,,,,,,,,,,,196,25,,,,,286,13,,,79,4,305,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,5072,9928,,,,,,,,,,,6,18,,,,,,,,,,,,,,,13,17,,,,,70,2,,,,,,,,,17,17,,,,,,,,,,,,,109,8,439,44,,,,,,,,,7245,14,4,26,71,66,,,,,,,,,,,340,41,,,,,,,,,,,,,,,14,3,,,,,509,2,,,,,,,,,,,,,,,167,8,,,,,,,,,105,64,265,28,,,,,,,,,,,,,12,42,,,,,,,,,,,,,,,,,,,14,1,,,26,2,,,123,2,,,,,,,,,,,,,,,72,51,6,10,86,9,,,,,,,,,,,,,,,,,,,,,,,,,,,97,59,,,,,,,,,,,,,,,7,3,,,,,,,,,,,,,,,16,61,,,,,53,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,53
21,22,822,9379,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,,,,,,,,,,,,,,,15,19,,,,,,,,,,,12,3,16,32,1192,19,,,,,,,,,3845,25,5,14,592,26,,,,,,,106,16,,,387,37,,,,,,,,,,,,,,,,,,,56,25,,,,,,,,,,,81,19,,,,,,,,,,,,,,,431,23,497,19,,,,,,,,,,,,,41,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,17,10,4,40,17,,,,,,,,,,,,,,,425,10,,,,,110,29,,,,,662,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,11,,,,,,,,,,,,,,,,,,,,,,,6,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,12
22,23,2136,8702,,,,,,,,,,,,,,,,,,,,,,,,,,,109,8,,,,,,,,,,,,,,,,,,,,,,,164,9,,,,,,,2846,7,,,,,,,,,2737,38,7,9,159,46,,,,,322,3,,,,,188,58,,,,,,,,,,,,,,,,,,,,,,,,,85,8,,,,,130,11,,,,,,,,,,,,,,,339,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,,,,,,,,,,,,,,,,,,,,,619,9,,,,,,,,,,,,,,,,,,,452,9,,,,,,,,,,,110,57,,,,,,,,,,,,,19,7,,,72,3,,,,,,,,,6,2,,,245,6,,,,,,,,,,,,,,,,,71,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,152
23,24,5432,8679,,,,,,,,,,,102,8,,,6,2,,,,,,,,,,,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,69,,,,,,,,,5899,19,,,879,19,,,,,175,6,21,45,,,134,69,,,,,,,,,,,,,,,6,4,,,62,22,93,3,,,,,,,,,,,,,,,253,6,,,,,,,,,110,63,95,45,,,,,,,,,,,,,12,43,,,,,,,,,,,,,,,20,6,,,,,,,4,5,,,23,3,,,,,,,,,,,,,,,84,42,10,6,31,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,5,23,2,,,326,2,,,,,,,,,,,9,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,56
24,25,2719,7937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,81,,,,,,,5,53,,,,,18,26,512,41,,,,,,,,,5926,17,5,16,314,31,,,,,,,42,33,,,475,32,,,,,,,,,,,,,,,,,,,43,27,,,,,,,,,,,19,36,,,,,,,,,,,,,,,164,47,,,,,,,,,,,,,,,9,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,55,,,,,,,,,,,,,,,,,,,34,54,,,,,,,,,,,151,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,27,,,,,,,,,,,,,,,,,,,,,,,5,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,30
25,26,6819,7908,,,,,,,,,,,,,,,,,,,,,,,,,,,51,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,19,5123,1,,,,,,,,,1363,71,5,18,38,94,,,,,,,36,35,,,175,61,,,,,,,,,,,,,,,,,,,24,34,,,,,,,,,,,,,,,,,,,,,,,11,2,,,148,52,61,57,,,,,,,,,,,,,8,54,,,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,80,44,,,15,34,,,,,,,,,,,,,,,385,13,,,,,55,40,,,,,164,46,,,,,,,,,,,,,,,,,7,24,,,,,,,,,,,,,40,36,,,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,42
26,27,2398,6904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,55,,,,,,,,,5710,20,3,31,97,61,,,,,,,13,69,,,322,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,53,,,,,,,,,,,,,,,,,,,82,32,,,,,,,,,,,155,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,44,,,,,,,,,,,,,,,,,71,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,2392,6676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,29,,,,,,,116,11,,,,,,,730,29,,,,,,,,,3624,30,,,231,35,,,15,2,109,7,,,,,549,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,27,,,,,,,,,,,,,,,276,32,226,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,20,,,34,19,,,,,,,,,,,,,,,224,19,,,,,131,27,,,,,,,,,,,,,,,,,,,,,,,3,33,,,,,,,19,8,,,,,79,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,43
