bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
2162,15653,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,7,26,,,,,,,4,45,,,,,5,45,851,16,,,,,,,,,6425,11,,,1,124,,,,,,,41,21,,,509,18,,,2,4,,,,,,,,,,,16,31,,,,,,,,,123,7,,,,,,,,,,,,,2,8,450,11,7,90,,,,,2,4,,,,,122,9,,,,,,,,,,,,,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,42,3,14,,,,,,,,,,,,,,,416,7,,,,,100,22,,,11,11,6159,2,,,,,,,,,,,,,1,7,,,,,8,10,,,,,,,,,,,47,20,,,,,,,,,,,,,,,32,22,,,,,8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,14
181,12665,12,13,2,,,,,,,,,367,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17,,,,,,,,,,,,,73,5,810,17,,,,,,,,,7458,8,,,1147,7,,,4,6,,,35,26,,,739,12,,,,,,,,,,,,,,,111,8,,,,,143,4,,,100,8,,,,,,,,,,,,,,,111,41,158,32,,,,,,,,,,,,,,,,,5,3,,,,,,,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,12,,,40,12,,,,,,,,,,,,,122,25,,,,,80,27,,,,,462,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,10,,,,,,,,,6,15,,,,,89,12,,,,,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,23
2243,11111,13,,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,,,,,,,,,,,,,,,4,42,,,,,,,,,,,,,,,2923,3,,,,,,,,,4204,18,,,,,,,,,,,,,,,1032,7,,,,,,,,,,,,,,,,,,,,,24,10,,,66,14,,,,,,,,,,,,,,,257,23,95,39,,,,,,,,,,,,,,,,,,,,,,,,,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617,5,,,,,,,,,,,,,,,,,651,5,,,,,298,9,,,26,9,557,15,,,,,,,5,4,,,,,,,,,,,25,5,,,,,276,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,63
25821,10211,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,6,,,,,,,,,1,946,11,4,,,,,,,,,,,,,3741,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3556,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,2,,,,,,,,,,,,,,,,,,,,,,,12,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,9878,15,,,,,,,,,,,103,7,,,,,,,,,,,,,,,47,8,,,,,,,,,3,5,,,,,23,5,,,,,,,158,7,,,5,5,15,23,505,24,,,,,200,5,,,4196,19,8,7,954,10,13,8,,,,,75,12,,,864,10,,,,,9,2,,,6,2,,,6,2,32,22,19,4,,,,,,,92,9,,,,,135,8,,,,,,,6,4,110,42,267,24,,,7,4,,,,,4,3,29,19,,,,,5,4,,,,,,,8,11,,,,,,,,,3,6,,,,,50,4,,,,,,,,,,,,,330,9,13,3,42,10,,,,,,,,,,,,,382,8,,,,,120,19,,,44,5,555,16,,,,,,,,,3,3,,,,,,,32,7,37,3,,,,,,,,,,,33,31,,,,,7,4,3,4,13,10,,,,,61,14,,,1,1,13,17,,,,,,,,,22,11,,,,,,,,,,,,,,,,,,,210,15
13,8680,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,,,,,,,74,13,,,3,6,23,17,491,25,,,,,,,,,4941,14,3,28,690,13,,,3,9,,,,,,,335,26,,,,,,,,,1,4,,,,,152,5,,,,,,,,,75,11,,,,,,,,,,,,,,,131,36,682,13,,,,,,,,,,,79,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,122,9,4,35,14,,,,,,,,,,,,,161,18,,,,,158,15,,,21,10,325,25,,,,,,,,,,,,,,,,,13,12,11,9,,,,,17,8,,,,,66,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,20
2425,8029,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,3,49,,,,,,,,,,,,,41,13,590,21,,,,,,,,,2840,26,6,14,716,12,,,5,4,59,8,86,9,,,905,8,,,,,,,,,,,,,,,53,16,,,,,,,,,,,,,,,,,,,,,,,,,317,14,685,12,,,,,,,,,,,10,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,18,,,,,,,,,,,,,,,,,153,19,,,,,260,10,,,38,6,857,11,,,,,,,,,,,,,,,,,36,6,,,,,,,,,,,,,46,21,,,,,,,,,,,,,,,,,,,,,46,6,,,,,,,,,7,14,,,,,,,,,,,,,,,,,,,115,24
1294,7928,18,,,,,,,,,,,34,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,9,,,,,,,,,,,,,27,15,360,34,,,,,,,,,4291,17,10,5,449,18,,,,,,,90,8,,,882,9,,,,,,,,,,,,,,,83,10,,,,,,,,,56,17,,,,,10,13,,,,,5,2,,,473,10,,,,,,,,,,,,,69,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,,,,,,,,,,,,,285,13,,,25,22,,,4,5,,,,,,,,,42,40,,,,,,,,,,,355,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,12,,,,,,,,,,,,,,,45,18,,,,,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,17
5072,7482,19,,,,,,,,,,,7,15,,,,,,,,,,,,,,,6,18,,,,,19,2,,,,,,,,,6,32,,,,,,,,,,,,,65,7,207,50,,,,,,,,,5859,12,6,16,45,66,,,,,,,,,,,145,54,,,,,,,,,,,,,,,,,325,2,,,,,,,,,,,,,298,4,,,,,,,,,35,85,241,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,5,3,,,44,2,,,,,,,,,,,,,,,12,78,8,7,38,13,,,,,,,,,,,,,,,,,,,,,,,,,41,67,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,6,78,,,,,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,66
5432,7350,20,,,,,,,,,,,55,8,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,75,,,,,,,,,5856,13,,,453,17,,,,,115,5,2,113,,,106,63,,,,,,,,,,,,,,,45,17,34,3,,,,,,,,,,,,,118,9,,,,,,,,,76,53,71,45,,,,,,,,,,,6,52,,,,,,,,,,,,,,,8,7,,,,,,,5,4,,,3,3,,,,,,,,,,,,,,,59,39,14,2,13,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,9,2,137,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,44
2952,6872,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15,,,,,,,,,,,,,43,12,382,33,,,,,,,,,4579,15,5,21,334,22,,,1,11,,,63,16,,,437,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,14,,,,,,,,,649,8,18,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,27,,,27,21,,,,,,,,,,,,,,,,,,,62,28,,,,,84,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,6665,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,6,,,,,,,12,35,,,,,,,633,19,,,,,,,,,2638,28,,,980,9,,,,,,,50,19,,,549,17,,,,,,,,,,,,,,,122,7,,,,,,,,,25,24,,,,,,,,,,,,,,,30,92,156,33,,,,,,,,,,,246,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,4,,,27,20,,,,,,,,,,,,,204,15,,,,,184,14,,,29,7,142,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,5527,23,,,,,,,,,,,,,,,,,,,,,,,,,,,7,16,,,,,,,,,,,,,,,19,8,,,,,,,,,,,31,2,15,24,488,26,,,,,,,,,2563,30,5,17,310,23,,,,,,,102,6,,,253,36,,,,,,,,,,,,,,,27,25,,,,,,,,,54,18,,,,,,,,,,,,,,,277,20,322,19,,,,,,,,,,,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,15,6,9,30,18,,,,,,,,,,,,,301,11,,,,,91,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,14,,,,,,,,,,,,,,,,,,,,,6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,10
2719,4987,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,27,352,36,,,,,,,,,3773,21,6,15,106,44,,,,,,,24,33,,,353,23,,,,,,,,,,,,,,,27,26,,,,,,,,,2,47,,,,,,,,,,,,,,,121,40,,,,,,,,,,,,,18,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,64,,,,,,,,,,,,,,,,,30,50,,,,,,,,,,,81,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,45,,,,,,,,,,,,,,,,,,,,,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,37
2136,4826,25,,,,,,,,,,,,,,,,,,,,,,,,,,,54,7,,,,,,,,,,,,,,,,,,,,,,,116,11,,,,,,,1456,10,,,,,,,,,1632,48,5,19,107,43,,,,,206,3,,,,,114,61,,,,,,,,,,,,,,,,,,,,,70,8,,,74,12,,,,,,,,,,,,,,,173,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,309,11,,,,,,,,,,,,,,,,,254,12,,,,,,,,,,,53,62,,,,,,,,,,,,,,,,,28,9,,,,,,,,,1,3,,,134,8,,,,,,,,,,,,,,,33,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,132
2398,4818,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,58,,,,,,,,,4154,20,7,10,,,,,,,,,25,32,,,283,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,46,,,,,,,,,,,,,,,,,15,71,,,,,,,,,,,91,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,52,,,,,,,,,,,,,,,26,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6819,4644,27,,,,,,,,,,,,,,,,,,,,,,,,,,,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,14,2712,4,,,,,,,,,1110,59,5,22,,,,,,,,,45,20,,,110,62,,,,,,,,,,,,,,,11,38,,,,,,,,,,,,,,,,,,,,,3,5,,,53,67,,,,,,,,,,,,,42,16,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,38,51,,,17,27,,,,,,,,,,,,,186,16,,,,,50,29,,,,,84,50,,,,,,,,,,,,,,,,,10,14,,,,,,,,,,,,,36,28,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,34
27443,4624,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,19,,,,,,,37,17,,,2,7,12,29,357,35,,,,,,,,,512,106,1,42,363,20,20,5,,,,,66,14,,,282,33,,,,,,,,,,,,,,,,,,,,,22,11,,,,,,,,,,,,,,,,,,,188,30,,,,,,,,,,,,,656,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,24,,,,,,,,,,,,,,,,,145,21,,,,,108,21,,,,,304,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409,3
2392,4580,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,27,,,,,,,49,15,,,,,,,411,29,,,,,,,,,2580,29,,,255,27,,,4,7,93,7,,,,,335,27,,,,,,,,,,,,,,,,,,,,,,,,,7,36,,,,,,,,,,,,,,,179,32,245,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,21,,,22,24,,,,,,,,,,,,,119,26,,,,,82,26,,,,,,,,,,,,,,,,,,,,,,,6,21,,,,,,,2,12,,,,,45,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,52
1258,4414,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,23,,,,,,,692,18,,,,,,,,,3689,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
