bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
2181,21946,11,,,,,,,,,,,,,,,,,,,,,11,2,,,,,219,3,,,,,,,,,,,,,,,25,12,,,,,,,182,7,,,,,170,4,1735,14,,,,,355,3,,,6345,18,27,3,1527,7,89,3,15,4,,,176,5,,,1495,5,,,,,,,,,,,,,,,247,8,,,,,91,7,,,,,148,8,,,,,364,4,,,,,,,22,2,83,64,1006,13,,,,,23,3,,,,,32,25,,,,,,,,,,,,,46,8,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,790,4,17,4,218,5,,,,,,,,,,,,,1126,2,,,,,273,14,,,150,4,1726,10,,,,,,,7,2,,,,,,,,,95,3,24,9,,,,,,,13,2,,,1044,2,,,,,,,,,,,29,10,,,,,725,4,,,,,106,4,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1104,7
2243,21700,12,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,,,,,,,,,,,,,,,3,68,,,,,,,,,,,,,,,2972,6,,,,,,,,,13709,6,,,,,,,,,,,,,,,1134,10,,,,,,,,,,,,,,,,,,,,,55,10,,,,,76,20,,,,,,,,,,,,,,,489,14,169,35,,,,,,,,,,,,,,,,,,,,,,,,,34,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,6,,,,,,,,,,,,,,,,,861,3,,,,,389,9,,,39,10,796,19,,,,,,,6,4,,,,,,,,,,,29,6,,,,,221,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,41
320,19204,13,,,,,,,,,,,122,7,,,,,,,,,,,,,,,68,9,,,,,,,,,9,5,,,,,36,5,,,,,,,60,16,,,10,2,50,17,993,21,,,,,82,6,,,10821,10,16,6,1185,11,22,7,,,,,94,16,,,1426,6,,,,,8,2,,,4,2,,,7,2,52,21,21,4,,,,,,,,,168,6,,,,,303,5,,,,,,,10,3,193,38,401,22,,,36,2,,,,,12,2,45,20,,,,,11,3,,,,,,,45,9,,,,,,,,,4,6,,,,,69,6,,,,,,,,,,,,,471,10,18,3,41,23,,,,,,,,,,,,,377,14,,,,,180,23,,,194,3,858,17,,,,,,,,,8,2,,,,,,,54,7,31,5,,,,,,,,,,,67,23,,,,,13,5,8,3,,,42,9,,,,,104,10,,,7,1,50,10,,,,,,,,,40,9,,,,,,,,,,,,,,,,,,,258,19
181,17344,14,10,4,,,,,,,,,275,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,15,,,,,,,,,,,,,122,6,1318,16,,,,,,,,,10038,11,,,1328,10,,,6,10,,,66,22,,,922,14,,,,,,,,,,,,,,,212,9,,,,,256,2,,,,,106,12,,,,,,,,,,,,,,,174,43,137,40,,,,,,,,,,,,,,,,,2,7,,,,,,,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,17,,,83,9,,,,,,,,,,,,,207,22,,,,,212,18,,,,,1020,13,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,193,7,,,,,,,,,,,19,11,,,,,93,13,,,,,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,23
98,16629,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,24,3227,5,,,,,,,,,12860,7,,,45,78,,,,,,,16,51,,,65,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,53,,,,,,,,,,,,,19,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,38,,,22,30,,,,,,,,,,,,,,,,,,,19,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,32
1294,14796,16,,,,,,,,,,,52,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,,,,,,,,,,,,,59,14,667,32,,,,,,,,,9527,12,7,12,700,17,,,,,,,126,9,,,1243,8,,,,,,,,,,,,,,,190,11,,,,,,,,,,,93,17,,,,,13,15,,,,,4,3,,,603,9,,,,,,,,,,,,,108,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,352,13,,,63,12,,,3,5,,,,,,,,,51,48,,,,,,,,,,,496,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,12,,,,,,,,,,,,,,,,,34,23,,,,,12,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,21
13,14601,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,17,,,,,,,109,11,,,6,4,40,20,1022,20,,,,,,,,,7139,15,3,32,1088,12,,,7,8,,,,,5,2,686,19,,,,,,,,,,,,,,,485,5,,,,,,,,,,,118,11,,,,,,,,,,,,,,,307,28,1533,10,,,,,,,,,,,169,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,129,6,11,42,22,,,,,,,,,,,,,270,16,,,,,300,13,,,70,6,643,22,,,,,,,,,,,,,,,,,10,15,33,4,,,,,39,5,,,,,126,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,,,,,,,,,,,,,,,,,,,313,17
2425,11900,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,7,38,,,,,,,,,,,,,118,7,857,24,,,,,,,,,4104,26,3,34,1492,9,,,4,11,54,8,141,7,,,815,16,,,,,,,,,,,,,,,88,16,,,,,,,,,,,,,,,,,,,,,,,,,,,537,12,714,17,,,,,,,,,,,12,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,26,,,,,,,,,,,,,,,,,275,15,,,,,388,10,,,90,5,1736,9,,,,,,,,,,,,,,,,,60,6,,,,,,,,,,,,,75,21,,,,,,,,,,,,,,,,,,,,,,,47,11,,,,,,,,,14,11,,,,,,,,,,,,,,,,,,,94,31
25821,11687,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2676,9,,,,,,,,,1,953,18,5,,,,,,,,,,,,,2495,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5378,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,2,,,,,,,,,,,,,,,,,,,,,,,24,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,8848,20,,,,,,,,,,,,,,,,,,,,,,,,,,,22,12,,,,,,,,,,,,,,,18,18,,,,,,,,,,,1,8,6,58,1039,19,,,,,,,,,4004,27,12,7,435,22,,,,,,,151,6,,,375,36,,,,,,,,,,,,,,,37,30,,,,,,,,,,,99,16,,,,,,,,,,,,,,,392,22,565,19,,,,,,,,,,,45,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,14,8,7,45,19,,,,,,,,,,,,,435,11,,,,,117,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,9,,,,,,,,,,,,,,,,,,,,,,,10,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,12
5432,8657,21,,,,,,,,,,,81,8,,,9,2,,,,,,,,,,,31,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,62,,,,,,,,,6119,19,,,931,15,,,,,75,7,11,71,,,154,66,,,,,,,,,,,,,5,4,61,18,48,3,,,,,,,,,,,,,,,180,7,,,,,,,,,85,61,87,49,,,,,,,,,,,35,23,,,,,,,,,,,,,,,17,7,,,,,,,10,4,,,15,3,,,,,,,,,,,,,,,70,48,19,2,34,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3,11,2,,,233,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,42
5072,8446,22,,,,,,,,,,,9,14,,,,,,,,,,,,,,,11,16,,,,,38,2,,,,,,,,,7,39,,,,,,,,,,,,,100,9,467,44,,,,,,,,,6413,17,4,28,72,65,,,,,,,,,,,268,43,,,,,,,,,,,,,7,3,,,143,2,,,,,,,,,,,,,,,204,6,,,,,,,,,44,93,270,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,,,19,2,,,125,2,,,,,,,,,,,,,,,31,68,5,12,44,20,,,,,,,,,,,,,,,,,,,,,,,,,76,64,,,,,,,,,,,,,,,6,3,,,,,,,,,,,,,,,10,80,,,,,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,76
811,8118,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,6,,,,,,,17,30,,,,,,,719,29,,,,,,,,,2847,37,,,930,16,,,,,,,56,29,,,713,17,,,,,,,,,,,,,,,487,4,,,,,,,,,,,58,22,,,,,,,,,,,,,,,46,89,153,36,,,,,,,,,,,472,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617,7,,,45,18,,,,,,,,,,,,,450,10,,,,,194,19,,,53,9,226,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,7694,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,16,,,,,,,71,14,,,,,,,594,36,,,,,,,,,4603,24,,,289,31,,,11,6,86,6,,,,,697,18,,,,,,,,,,,,,,,,,,,,,,,,,,,27,28,,,,,,,,,,,,,,,327,25,286,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,29,,,27,28,,,,,,,,,,,,,190,24,,,,,139,26,,,,,,,,,,,,,,,,,,,,,,,9,18,,,,,,,7,10,,,,,84,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,35
2136,7332,25,,,,,,,,,,,,,,,,,,,,,,,,,,,84,7,,,,,,,,,,,,,,,,,,,,,,,175,8,,,,,,,2522,10,,,,,,,,,2271,46,7,13,132,51,,,,,144,4,,,,,212,58,,,,,,,,,,,,,,,,,,,,,139,5,,,,,92,18,,,,,,,,,,,,,,,220,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,,,,,,,,,,,,,,,,,,,,,505,9,,,,,,,,,,,,,,,,,420,12,,,,,,,,,,,51,76,,,,,,,,,,,,,,,,,65,4,,,,,,,,,3,3,,,214,6,,,,,,,,,,,,,,,,,48,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,84
2719,7279,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,77,,,,,,,,,,,,,38,21,505,43,,,,,,,,,5305,20,8,11,199,38,,,,,,,35,33,,,652,23,,,,,,,,,,,,,,,45,24,,,,,,,,,,,11,43,,,,,,,,,,,,,,,175,41,,,,,,,,,,,,,14,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,50,,,,,,,,,,,,,,,,,20,79,,,,,,,,,,,97,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,39,,,,,,,,,,,,,,,,,,,,,,,4,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,40
6819,7089,27,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,19,4401,2,,,,,,,,,1392,67,4,29,,,,,,,,,22,43,,,340,39,,,,,,,,,,,,,,,41,29,,,,,,,,,,,,,,,,,,,,,,,3,6,,,108,55,,,,,,,,,,,,,17,36,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,62,54,,,23,29,,,,,,,,,,,,,243,20,,,,,73,29,,,,,142,48,,,,,,,,,,,,,,,,,8,21,,,,,,,,,,,,,40,34,,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,36
712,7031,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,,,,,,,,,,,,,26,28,573,39,,,,,,,,,4703,23,,,264,32,,,,,,,41,31,,,923,12,,,,,,,,,,,,,,,,,,,,,,,,,,,23,30,,,,,,,,,,,,,,,254,30,,,,,,,,,,,,,,,,,,,,,,,,,,,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,43,,,,,,,,,,,,,85,34,,,,,,,,,,,70,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,44,,,,,,,,,,,,,,,,,,,,,,,26,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27443,6953,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,31,,,,,,,68,15,,,1,9,36,22,678,31,,,,,,,,,840,97,7,16,423,23,24,6,,,,,98,15,,,516,26,,,,,,,,,,,,,,,,,,,,,45,11,,,,,,,,,,,,,,,,,,,,,312,27,,,,,,,,,,,,,688,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,18,,,,,,,,,,,,,,,,,248,19,,,,,192,21,,,,,690,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748,5
