,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
10,11,181,20422,8,4,,,,,,,,,392,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,8,,,,,,,,,,,,,191,4,1594,16,,,,,,,,,11686,9,,,2077,4,,,7,7,,,81,23,,,1127,14,,,,,,,,,,,,,,,159,8,,,,,191,4,,,,,131,13,,,,,,,,,,,,,,,186,38,131,41,,,,,,,,,,,,,,,,,10,3,,,,,,,31,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,16,,,53,19,,,,,,,,,,,,,201,24,,,,,195,18,,,,,927,16,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,283,8,,,,,,,,,,,11,11,,,,,135,10,,,,,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,23
11,12,50381,19165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18406,3,,,,,,,,,9,15,158,8,,,,,,,,,,,,,,,,,,,37,27,,,,,,,,,,,,,,,,,,,,,,,,,,,555,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,2243,18553,,,,,,,,,,,,,,,,,,,,,,,,,,,26,13,,,,,,,,,,,,,,,7,42,,,,,,,,,,,,,,,4464,3,,,,,,,,,6032,19,,,,,,,,,,,,,,,2046,6,,,,,,,,,,,,,,,,,,,,,49,10,,,,,133,12,,,,,,,,,,,,,,,518,14,176,35,,,,,,,,,,,,,,,,,,,,,,,,,70,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1429,2,,,,,,,,,,,,,,,,,1356,3,,,,,498,8,,,61,8,1047,13,,,,,,,8,3,,,,,,,,,,,65,4,,,,,528,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,52
13,14,320,15018,,,,,,,,,,,109,7,,,,,,,,,,,,,,,59,8,,,,,,,,,6,7,,,,,51,3,,,,,,,117,12,,,3,8,41,22,954,23,,,,,205,5,,,6892,16,15,6,1291,10,14,10,,,,,155,9,,,1266,13,,,,,9,2,,,19,2,,,10,3,55,22,22,4,,,,,,,,,176,9,,,,,133,8,,,,,,,6,7,186,39,349,24,,,5,4,,,,,4,3,67,15,,,,,8,5,,,,,,,26,10,,,,,,,,,3,5,,,,,26,6,,,,,,,,,,,,,474,12,34,1,52,20,,,,,,,,,,,,,353,16,,,,,182,22,,,72,5,909,17,,,,,,,,,7,2,,,,,,,62,6,63,5,,,,,,,,,,,72,30,,,,,5,7,6,4,,,27,9,,,,,77,16,,,7,1,38,13,,,,,,,,,45,9,,,,,,,,,,,,,,,,,,,251,20
14,15,25821,14657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3361,6,,,,,,,,,4,940,10,14,,,,,,,,,,,,,4803,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4962,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1506,1,,,,,,,,,,,,,,,,,,,,,,,11,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,13,14364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,7,,,,,,,120,11,,,4,6,76,13,1077,19,,,,,,,,,7376,15,7,16,1152,12,,,6,8,,,,,3,2,617,21,,,,,,,,,,,,,,,177,7,,,,,,,,,,,158,10,,,,,,,,,,,,,,,278,30,1195,11,,,,,,,,,,,61,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,98,5,14,64,14,,,,,,,,,,,,,272,21,,,,,294,14,,,29,10,839,18,,,,,,,,,,,,,,,,,15,16,53,6,,,,,17,9,,,,,189,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,12,,,,,,,,,,,,,,,,,,,213,21
16,17,1294,11882,,,,,,,,,,,52,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,23,,,,,,,,,,,,,57,18,597,34,,,,,,,,,6424,17,7,17,752,17,,,,,,,134,13,,,1310,12,,,,,,,,,,,,,,,91,13,,,,,,,,,,,96,16,,,,,17,14,,,,,3,4,,,657,9,,,,,,,,,,,,,124,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,,,387,17,,,41,24,,,3,7,,,,,,,,,90,33,,,,,,,,,,,551,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,18,,,,,,,,,,,,,,,,,46,20,,,,,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,17
17,18,2425,11691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,,,7,43,,,,,,,,,,,,,67,15,850,28,,,,,,,,,3919,29,11,11,847,15,,,11,2,85,7,183,4,,,984,16,,,,,,,,,,,,,,,81,15,,,,,,,,,,,,,,,,,,,,,,,,,,,508,15,1217,9,,,,,,,,,,,21,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,22,,,,,,,,,,,,,,,,,317,17,,,,,374,10,,,71,6,1525,11,,,,,,,,,,,,,,,,,53,9,,,,,,,,,,,,,102,21,,,,,,,,,,,,,,,,,,,,,,,79,7,,,,,,,,,14,15,,,,,,,,,,,,,,,,,,,140,27
18,19,811,11256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,6,,,,,,,32,24,,,,,,,952,24,,,,,,,,,4034,27,,,1602,8,,,,,,,88,22,,,1051,15,,,,,,,,,,,,,,,192,5,,,,,,,,,,,86,21,,,,,,,,,,,,,,,87,62,165,37,,,,,,,,,,,455,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197,4,,,49,21,,,,,,,,,,,,,536,9,,,,,327,12,,,57,9,316,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,5072,10128,,,,,,,,,,,8,15,,,,,,,,,,,,,,,9,19,,,,,26,2,,,,,,,,,13,24,,,,,,,,,,,,,130,6,423,46,,,,,,,,,7665,14,30,2,71,64,,,,,,,,,,,302,48,,,,,,,,,,,,,26,2,,,356,2,,,,,,,,,,,,,,,321,3,,,,,,,,,60,78,302,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,,,12,3,,,83,2,,,,,,,,,,,,,,,32,67,7,12,67,13,,,,,,,,,,,,,,,,,,,,,,,,,90,59,,,,,,,,,,,,,,,6,4,,,,,,,,,,,,,,,9,71,,,,,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,76
20,21,5432,10106,,,,,,,,,,,59,8,,,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,83,,,,,,,,,7981,13,,,806,16,,,,,77,8,11,76,,,130,69,,,,,,,,,,,,,4,4,68,18,55,3,,,,,,,,,,,,,,,118,9,,,,,,,,,100,55,89,47,,,,,,,,,,,10,44,,,,,,,,,,,,,,,13,7,,,,,,,3,6,,,15,3,,,,,,,,,,,,,,,92,44,8,11,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4,7,3,,,174,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,40
21,22,822,9803,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15,,,,,,,,,,,,,,,17,21,,,,,,,,,,,6,5,48,21,864,27,,,,,,,,,4627,24,5,22,621,21,,,,,,,175,5,,,439,33,,,,,,,,,,,,,,,36,28,,,,,,,,,,,65,23,,,,,,,,,,,,,,,370,22,563,19,,,,,,,,,,,31,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473,13,8,7,81,10,,,,,,,,,,,,,462,11,,,,,126,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,7,,,,,,,,,,,,,,,,,,,,,,,3,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,12
22,23,2136,8165,,,,,,,,,,,,,,,,,,,,,,,,,,,85,7,,,,,,,,,,,,,,,,,,,,,,,195,8,,,,,,,2477,10,,,,,,,,,2863,39,10,12,157,47,,,,,205,3,,,,,188,61,,,,,,,,,,,,,,,,,,,,,73,9,,,,,114,15,,,,,,,,,,,,,,,248,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,,,,,,,,,,,,,,,607,10,,,,,,,,,,,,,,,,,442,14,,,,,,,,,,,56,69,,,,,,,,,,,,,,,,,64,5,,,,,,,,,9,3,,,271,10,,,,,,,,,,,,,,,,,69,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,75
23,24,6819,7792,,,,,,,,,,,,,,,,,,,,,,,,,,,32,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,19,4328,4,,,,,,,,,2040,53,6,20,,,,,,,,,41,32,,,154,65,,,,,,,,,,,,,,,24,36,,,,,,,,,,,,,,,,,,,,,,,6,3,,,89,60,,,,,,,,,,,,,14,39,,,,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,77,48,,,31,28,,,,,,,,,,,,,369,15,,,,,71,32,,,,,149,48,,,,,,,,,,,,,,,,,23,13,,,,,,,,,,,,,175,15,,,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,36
24,25,2952,7510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,11,,,,,,,,,,,,,94,12,1040,21,,,,,,,,,3897,30,9,15,492,22,,,10,4,,,89,21,,,566,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,13,,,,,,,,,556,12,45,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,25,,,62,16,,,,,,,,,,,,,,,,,,,99,28,,,,,121,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,2719,7437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,75,,,,,,,,,,,,,31,24,461,43,,,,,,,,,5724,20,5,24,172,46,,,,,,,32,35,,,482,28,,,,,,,,,,,,,,,58,20,,,,,,,,,,,22,31,,,,,,,,,,,,,,,148,44,,,,,,,,,,,,,13,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,59,,,,,,,,,,,,,,,,,23,69,,,,,,,,,,,99,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,34,,,,,,,,,,,,,,,,,,,,,,,8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,44
26,27,2398,7130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,64,,,,,,,,,6144,18,3,33,,,,,,,,,19,50,,,389,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,34,,,,,,,,,,,,,,,,,31,61,,,,,,,,,,,123,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,37,,,,,,,,,,,,,,,,,34,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,27443,7102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,28,,,,,,,68,16,,,12,3,21,30,557,38,,,,,,,,,769,107,7,19,725,19,32,6,,,,,107,19,,,335,42,,,,,,,,,,,,,,,,,,,,,36,12,,,,,,,,,,,,,,,,,,,,,308,27,,,,,,,,,,,,,1141,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,27,,,,,,,,,,,,,,,,,261,22,,,,,151,24,,,,,571,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770,4
28,29,2392,7083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,31,,,,,,,96,14,,,,,,,644,31,,,,,,,,,3954,28,,,242,38,,,6,9,99,6,,,,,608,22,,,,,,,,,,,,,,,,,,,,,,,,,,,22,30,,,,,,,,,,,,,,,290,28,326,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,23,,,48,22,,,,,,,,,,,,,189,26,,,,,194,19,,,,,,,,,,,,,,,,,,,,,,,6,32,,,,,,,7,11,,,,,83,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,51
