,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2181,22666,,,,,,,,,,,,,,,,,,,,,12,2,,,,,278,3,,,,,,,,,,,,,,,14,21,,,,,,,131,10,,,,,109,10,1980,13,,,,,119,5,,,6716,17,11,6,1379,11,97,3,13,4,,,232,5,,,1088,10,,,,,,,,,,,,,,,,,203,8,,,,,70,10,,,,,165,8,,,,,179,5,,,,,,,12,3,46,91,1040,11,,,,,,,27,3,,,,,30,26,,,,,,,,,,,,,,,63,6,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,372,13,12,5,132,7,,,,,,,,,,,,,1210,3,,,,,363,9,,,114,3,2179,7,,,,,,,9,3,,,,,22,5,,,50,7,31,7,,,,,,,8,1,,,1723,1,,,,,,,,,,,247,4,,,,,737,6,,,,,191,3,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,6
11,12,2243,18251,,,,,,,,,,,,,,,,,,,,,,,,,,,28,13,,,,,,,,,,,,,,,4,50,,,,,,,,,,,,,,,4341,2,,,,,,,,,8134,13,,,,,,,,,,,,,,,1777,5,,,,,,,,,,,,,,,,,,,,,,,90,9,,,,,120,13,,,,,,,,,,,,,,,439,16,132,36,,,,,,,,,,,,,13,46,,,,,,,,,,,,,,,62,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958,3,,,,,,,,,,,,,,,,,100,29,,,,,444,8,,,25,9,942,15,,,,,,,9,4,,,,,,,,,,,93,3,,,,,498,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,57
12,13,181,18145,14,3,,,,,,,,,454,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,19,,,,,,,,,,,,,143,8,1138,17,,,,,,,,,10867,9,,,1688,9,,,15,2,,,77,24,,,864,14,,,,,,,,,,,,,,,,,124,11,,,,,241,3,,,,,164,9,,,,,,,,,,,,,,,149,45,129,38,,,,,,,,,,,,,,,,,,,,,5,8,,,,,,,37,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,17,,,63,13,,,,,,,,,,,,,185,24,,,,,121,23,,,,,825,18,,,,,,,,,,,,,10,6,,,,,,,,,3,3,,,,,,,260,9,,,,,,,,,,,5,16,,,,,95,13,,,,,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,24
13,14,50381,17730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16707,5,,,,,,,,,23,13,136,14,,,,,,,,,,,,,,,,,,,,,119,12,,,,,,,,,,,,,,,,,,,,,,,,,,,640,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,320,14914,,,,,,,,,,,159,8,,,,,,,,,,,,,,,69,9,,,,,,,,,21,2,,,,,24,11,,,,,,,57,16,,,12,3,29,23,850,23,,,,,97,6,,,7012,16,18,2,1065,15,18,8,,,,,163,10,,,1144,9,,,,,9,3,,,5,3,,,8,2,,,47,23,37,4,,,,,,,,,159,10,,,,,154,7,,,,,,,17,2,155,43,461,21,,,,,14,3,,,,,22,2,48,17,,,,,,,14,3,,,,,,,20,11,,,,,,,,,10,3,,,,,48,6,,,,,,,,,,,,,624,9,21,2,46,20,,,,,,,,,,,,,360,13,,,,,221,16,,,43,8,953,14,,,,,,,,,7,2,,,,,,,35,11,36,6,,,,,,,,,,,73,27,,,,,9,7,8,4,,,45,9,,,,,123,12,,,15,1,39,11,,,,,,,,,40,10,,,,,,,,,,,,,,,,,,,,,250,19
15,16,25821,14828,,,,,,,,,,,53,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4115,5,,,,,,,,,5,968,9,7,1329,12,,,,,,,,,,,4344,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3239,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724,1,,,,,,,,,,,,,,,,,,,,,,,10,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,13,14080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,13,,,,,,,103,13,,,4,7,27,24,804,25,,,,,,,,,7792,15,6,16,1230,13,,,6,11,,,,,8,2,521,24,,,,,,,,,,,,,,,,,315,4,,,,,,,,,,,125,12,,,,,,,,,,,,,,,208,35,958,12,,,,,,,,,,,,,100,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,126,4,15,33,24,,,,,,,,,,,,,214,21,,,,,306,11,,,11,11,700,21,,,,,,,,,,,,,,,,,10,14,24,8,,,,,31,7,,,,,171,15,,,,,,,,,,,,,,,,,49,22,,,,,,,,,,,,,,,6,17,,,,,,,,,,,,,,,,,,,,,292,18
17,18,27443,11252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18,,,,,,,54,18,,,5,6,53,16,617,32,,,,,,,,,677,111,5,24,868,20,21,6,,,,,81,23,,,350,39,,,,,,,,,,,,,,,,,,,,,,,33,13,,,,,,,,,,,,,,,,,,,,,309,28,2090,7,,,,,,,,,,,,,1877,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,27,,,,,,,,,,,,,,,,,285,18,,,,,255,15,,,,,594,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2879,2
18,19,2425,11148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,10,23,,,,,,,,,,,,,76,13,865,22,,,,,,,,,3753,31,7,12,979,19,,,7,7,81,8,195,7,,,1043,11,,,,,,,,,,,,,,,,,84,15,,,,,,,,,,,54,25,,,,,,,,,,,,,,,426,17,655,16,,,,,,,,,,,,,15,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,22,,,,,,,,,,,,,,,,,290,16,,,,,348,10,,,67,5,1580,11,,,,,,,,,,,,,,,,,56,5,,,,,,,,,,,,,91,22,,,,,16,4,,,,,,,,,,,,,,,,,61,9,,,,,,,,,14,11,,,,,,,,,,,,,,,,,,,,,168,23
19,20,5072,10608,,,,,,,,,,,8,18,,,,,,,,,,,,,,,13,18,,,,,53,2,,,,,,,,,8,32,,,,,,,,,,,,,160,7,442,44,,,,,,,,,7975,14,4,27,77,67,,,,,,,,,,,257,45,,,,,,,,,,,,,8,3,,,,,368,2,,,,,,,,,,,,,,,186,4,,,,,,,,,69,76,341,27,,,,,,,,,,,,,34,23,,,,,,,,,,,,,,,,,,,,,16,1,,,19,2,,,139,2,,,,,,,,,,,,,,,32,63,11,8,130,8,,,,,,,,,,,,,,,,,,,,,,,,,117,52,,,,,,,,,,,,,,,7,4,,,,,,,,,,,,,,,38,38,,,,,61,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,65
20,21,1258,10433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,25,,,,,,,1004,19,,,,,,,,,9363,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,811,10305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,3,,,,,,,20,29,,,,,,,971,20,,,,,,,,,4148,27,,,1738,7,,,,,,,84,21,,,817,17,,,,,,,,,,,,,,,,,231,6,,,,,,,,,,,73,22,,,,,,,,,,,,,,,70,74,155,35,,,,,,,,,,,,,315,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,7,,,31,25,,,,,,,,,,,,,208,22,,,,,284,13,,,46,7,342,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,822,9181,,,,,,,,,,,,,,,,,,,,,,,,,,,24,14,,,,,,,,,,,,,,,18,15,,,,,,,,,,,5,5,26,25,951,21,,,,,,,,,4006,28,3,36,414,27,,,,,,,221,6,,,301,42,,,,,,,,,,,,,,,,,58,21,,,,,,,,,,,75,21,,,,,,,,,,,,,,,379,22,524,18,,,,,,,,,,,,,38,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,16,8,10,45,21,,,,,,,,,,,,,444,10,,,,,91,29,,,,,477,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,10,,,,,,,,,,,,,,,,,,,,,,,5,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,12
23,24,5894,9159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,22,,,,,,,,,,,,,,,761,27,,,,,,,,,3420,36,,,404,28,,,,,,,19,49,,,538,23,,,,,,,,,,,,,,,,,128,10,,,,,,,,,,,,,,,,,,,,,,,,,,,420,19,516,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,38,,,,,,,,,,,,,,,,,,,,,,,209,18,,,,,2408,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,10,,,,,36,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,5432,8861,,,,,,,,,,,165,7,,,7,2,,,,,,,,,,,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,57,,,,,,,,,6453,20,,,673,23,,,,,143,6,15,63,,,120,73,,,,,,,,,,,,,7,4,,,63,20,203,3,,,,,,,,,,,,,,,127,8,,,,,,,,,102,59,71,51,,,,,,,,,,,,,13,48,,,,,,,,,,,,,,,,,16,7,,,,,,,9,4,,,36,3,,,,,,,,,,,,,,,89,41,7,12,22,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,15,2,,,171,5,,,,,,,,,,,8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,51
25,26,2136,8803,,,,,,,,,,,,,,,,,,,,,,,,,,,105,8,,,,,,,,,,,,,,,,,,,,,,,176,8,,,,,,,2569,7,,,,,,,,,3074,39,6,17,139,49,,,,,382,3,,,,,188,58,,,,,,,,,,,,,,,,,,,,,,,96,8,,,,,134,11,,,,,,,,,,,,,,,272,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,,,,,,,,,,,,,,,,,,,,,548,11,,,,,,,,,,,,,,,,,592,6,,,,,,,,,,,61,72,,,,,,,,,,,,,,,,,60,4,,,,,,,,,7,2,,,295,7,,,,,,,,,,,,,,,,,48,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,63
26,27,2719,8642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,26,553,36,,,,,,,,,6558,19,7,13,246,36,,,,,,,47,31,,,631,20,,,,,,,,,,,,,,,,,45,24,,,,,,,,,,,12,40,,,,,,,,,,,,,,,157,40,,,,,,,,,,,,,,,11,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,57,,,,,,,,,,,,,,,,,32,58,,,,,,,,,,,129,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,39,,,,,,,,,,,,,,,,,,,,,,,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,32
27,28,6819,7393,,,,,,,,,,,,,,,,,,,,,,,,,,,52,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,14,4277,3,,,,,,,,,1703,59,18,3,33,95,,,,,,,31,38,,,147,67,,,,,,,,,,,,,,,,,34,30,,,,,,,,,,,,,,,,,,,,,,,3,4,,,134,48,65,55,,,,,,,,,,,,,28,29,,,,,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,81,46,,,22,30,,,,,,,,,,,,,346,14,,,,,24,49,,,,,164,43,,,,,,,,,,,,,,,,,11,13,,,,,,,,,,,,,43,34,,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,37
