bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
13,25252,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,8,,,,,,,158,16,,,4,8,74,23,2011,20,,,,,77,9,,,12479,9,5,30,2055,10,,,1,16,,,,,4,2,1027,22,,,,,,,,,,,,,,,,,,,,,902,3,,,,,,,,,,,300,9,,,,,,,,,,,,,,,677,26,1833,8,,,,,,,,,,,,,111,10,,,,,,,,,,,,,,,,,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,12,13,3,82,16,,,,,,,,,,,,,,,,,,,,,331,23,,,,,401,15,,,,,49,9,827,18,,,,,,,,,,,,,,,,,,,,,38,11,62,6,,,,,98,6,,,,,335,12,,,,,,,,,,,,,,,,,,,34,21,,,,,,,,,,,,,,,11,20,,,,,,,,,,,,,,,,,,,,,,,381,21
2162,25028,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,8,47,,,,,,,120,19,,,,,34,38,1308,35,,,,,,,,,11370,11,,,603,27,,,,,,,120,27,,,858,28,,,,,3,4,,,,,,,,,,,,,,,15,45,,,,,,,,,,,205,17,,,,,,,,,,,,,3,10,567,31,4,111,,,,,,,6,4,,,,,52,18,,,,,,,,,,,,,,,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,44,2,18,,,,,,,,,,,,,,,,,,,,,,,911,8,,,,,166,24,,,,,14,11,7243,3,,,,,,,,,,,,,,,,,3,10,,,,,10,16,,,,,19,12,,,,,87,33,,,,,,,,,,,,,,,,,,,36,18,,,,,148,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958,11
181,23400,13,27,3,,,,,,,,,79,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,17,,,,,,,,,,,,,164,10,2908,12,,,,,,,,,12587,8,,,2233,8,,,11,8,,,137,24,,,1413,15,,,,,,,,,,,,,,,,,,,,,124,18,,,,,308,4,,,,,176,20,,,,,,,,,,,,,,,440,39,179,43,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,41,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,17,,,75,19,,,,,,,,,,,,,,,,,,,,,292,26,,,,,203,21,,,,,,,589,21,,,,,,,,,,,,,,,,,231,2,,,,,,,,,4,4,,,,,,,385,11,,,,,,,,,,,,,16,14,,,,,37,16,,,,,34,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,32
811,21991,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,6,,,,,,,23,41,,,,,,,2213,17,,,,,,,,,7241,17,4,38,2493,6,,,,,,,463,10,,,1996,7,,,,,,,,,,,,,11,2,,,,,,,613,5,,,,,,,,,,,205,16,,,,,,,,,,,,,,,136,76,666,18,,,,,,,,,,,,,393,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,1,,,35,29,,,,,,,,,,,,,,,,,,,,,863,10,,,,,999,3,,,,,183,4,364,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989,10
25821,21724,15,,,,,,,,,,,385,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6154,3,,,,,,,,,1411,83,12,7,2269,7,,,,,,,,,,,4701,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3155,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,7,,,,,,,,,,,,,,,,,,,,,,,1467,6
2243,21401,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,14,,,,,,,,,,,,,,,12,38,,,,,,,,,,,,,,,5965,4,,,,,,,,,6615,21,,,,,,,,,,,,,,,1980,8,,,,,,,,,,,,,,,,,,,,,,,,,,,143,8,,,,,207,15,,,,,,,,,,,,,,,712,23,193,40,,,,,,,,,,,,,18,42,,,,,,,,,,,,,,,69,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1731,4,,,,,,,,,,,,,,,,,,,,,,,,,1059,6,,,,,880,5,,,,,41,10,736,19,,,,,,,,,,,8,2,,,,,,,,,,,97,4,,,,,809,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,46
29351,19782,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,124,18,,,,,,,3537,10,,,,,,,,,3535,38,,,129,63,120,2,,,,,92,35,,,291,62,,,,,,,,,,,,,,,,,,,,,364,7,,,,,,,,,,,35,33,20,5,,,,,,,,,,,,,,,176,45,,,,,,,,,,,,,14,52,,,,,,,,,,,,,,,285,3,86,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,43,,,,,,,,,,,,,,,,,,,,,,,,,645,14,,,,,,,,,,,,,8962,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,45,,,,,,,,,,,,,,,,,,,,,,,,,747,1,,,,,,,,,359,5,,,,,,,,,,,,,,,,,,,,,,,59,55
320,19462,18,,,,,,,,,,,126,9,,,,,11,3,,,,,,,,,13,1,,,162,8,,,,,,,,,11,4,,,,,51,10,,,,,,,228,9,,,10,4,69,24,2324,16,,,,,220,6,,,6663,19,19,4,1216,15,52,7,,,55,16,489,9,,,1459,14,,,,,,,10,3,,,4,2,,,10,4,,,,,90,20,50,5,,,,,,,,,507,3,,,,,325,3,,,,,,,16,3,410,41,355,29,,,,,8,5,,,,,26,2,67,14,,,,,11,4,,,,,,,,,43,8,45,6,,,,,,,,,13,2,,,,,158,3,,,,,,,,,,,,,1228,7,9,8,73,21,,,,,,,8,5,,,,,,,,,,,,,654,13,,,,,288,18,,,,,155,6,889,16,,,,,,,,,,,,,6,3,,,,,,,108,5,143,3,,,,,,,,,,,89,31,,,,,21,4,,,8,3,,,32,11,,,,,30,22,,,9,1,62,17,,,,,,,,,30,14,,,,,,,,,,,4,7,,,,,,,,,,,290,25
1294,19373,19,,,,,,,,,,,39,13,,,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,15,,,,,,,,,,,,,98,18,2036,19,,,,,,,,,7765,14,7,18,1361,14,,,,,76,14,663,6,,,2430,6,,,,,,,,,,,,,8,5,,,,,,,225,10,,,,,,,,,,,323,8,,,,,43,14,,,,,4,5,,,2139,8,,,,,,,,,,,,,,,36,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,,,,,,,,,,,,,539,15,,,59,23,,,,,,,3,7,,,,,,,,,,,,,88,40,,,,,,,,,,,,,589,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,9,,,,,,,,,,,,,26,12,,,,,40,14,,,,,30,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,24
2425,17520,20,,,,,,,,,,,83,11,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,169,3,,,,,,,197,15,,,,,136,13,1529,29,,,,,,,,,4300,33,8,15,1005,18,,,3,14,156,10,237,20,,,1206,18,,,,,,,,,,,,,,,,,,,,,150,13,,,,,,,,,,,182,19,,,,,,,,,,,,,,,1051,15,544,21,,,,,,,,,,,,,14,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,25,,,,,,,,,,,,,,,,,,,,,,,,,928,7,,,,,615,9,,,,,271,3,3678,5,,,,,,,,,,,,,,,,,,,,,71,9,,,,,,,,,,,,,219,18,,,,,4,8,,,,,,,,,,,,,,,,,,,283,4,,,,,,,,,33,13,,,,,,,,,,,,,,,,,,,,,,,108,41
2136,16812,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,3,,,,,,,,,,,,,,,,,,,,,,,388,5,,,,,,,3797,9,,,,,,,,,4828,28,11,8,255,44,,,,,946,4,,,,,476,44,,,,,,,,,,,,,,,,,,,,,,,,,,,240,5,,,,,327,7,,,,,,,,,,,,,,,649,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3,,,,,,,,,,,,,,,,,,,,,1329,6,,,,,,,,,,,,,,,,,,,,,,,,,2279,4,,,,,,,,,,,,,99,66,,,,,,,,,,,,,,,,,17,7,,,217,2,,,,,5,3,,,8,3,,,387,10,,,,,,,,,,,,,,,,,,,66,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,87
822,15864,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,10,,,,,,,,,,,,,,,48,11,,,,,,,218,11,,,7,6,36,34,1913,24,,,,,40,12,,,6565,22,5,32,1121,16,,,,,,,557,8,,,881,26,,,,,,,,,,,,,,,,,,,,,54,27,,,,,,,,,,,270,11,,,,,,,,,,,,,,,827,21,367,27,,,,,,,,,,,,,100,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,19,4,15,86,15,,,,,,,,,,,,,,,,,,,,,465,18,,,,,185,23,,,,,,,872,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,15,,,,,,,,,,,,,,,,,,,,,,,,,1,51,,,,,,,,,13,17,,,,,,,,,,,,,,,,,,,,,,,402,20
39856,15091,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,7,,,,,,,,,,,,,,,181,2,,,,,,,105,20,,,,,54,29,1043,41,,,,,,,,,3675,36,,,3176,4,,,,,,,,,,,1075,20,,,,,,,,,,,,,,,,,,,,,132,17,,,,,,,,,,,214,14,,,,,,,,,,,,,,,3387,4,,,,,,,,,,,,,,,42,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,34,,,,,,,,,,,,,,,,,,,,,377,22,,,,,,,,,,,,,1064,14,,,,,,,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,31
3886,14372,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,5,,,,,,,,,,,,,,,5,61,,,,,,,215,12,,,,,128,14,5139,7,,,,,,,,,2256,60,9,12,427,34,13,17,,,104,13,248,19,,,603,37,,,,,12,2,,,,,,,,,,,,,,,25,37,,,,,,,,,,,776,2,,,,,,,,,,,,,,,1181,12,165,46,,,,,,,,,,,,,30,27,,,,,,,9,3,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,45,14,2,179,9,,,,,,,,,,,,,,,,,,,,,250,28,,,,,583,10,,,,,326,2,198,44,,,,,,,,,,,,,,,,,,,,,79,8,23,12,,,,,570,2,,,,,117,25,,,,,,,,,,,,,,,,,,,94,7,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,42
2952,13899,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,9,,,,,,,,,,,,,159,11,1986,22,,,,,,,,,6033,23,7,21,939,19,,,19,4,,,431,14,,,1343,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,,,,,,,6,9,1293,11,40,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,16,,,176,11,,,,,,,,,,,,,,,,,,,,,,,,,,,189,22,,,,,,,172,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
