,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,29351,24256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,,,,,,,,,,,,,,,,,,,,,,,,,242,9,,,,,,,4784,7,,,,,,,,,3680,28,,,246,42,146,2,,,,,181,11,,,786,23,,,,,,,,,,,,,,,,,,,,,285,8,,,,,,,,,,,63,23,22,5,,,,,,,,,,,,,,,,,130,45,,,,,,,,,,,,,12,46,,,,,,,,,,,,,,,,,450,2,77,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,25,,,,,,,,,,,,,,,,,,,,,,,,,1113,6,,,,,,,,,,,,,10316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,34,,,,,,,,,,,,,,,,,,,,,,,,,929,1,,,,,,,,,359,5,,,,,,,,,,,,,,,,,,,,,71,42
11,12,25821,24035,,,,,,,,,,,493,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3425,10,,,,,,,,,1084,83,3,32,2233,7,,,,,,,,,,,7168,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2225,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,6,,,,,,,,,,,,,,,,,,,,,5114,1
12,13,2181,23509,,,,,,,,,,,,,,,,,,,,,,,12,3,,,,,,,258,4,,,,,,,,,,,,,,,94,4,,,,,,,152,16,,,,,143,8,1850,19,,,,,217,5,,,7079,14,9,10,1182,16,114,3,7,7,,,256,9,,,1230,16,,,,,,,,,,,,,,,,,,,,,356,7,,,,,124,10,,,,,300,7,,,,,,,351,5,,,,,,,12,5,868,10,885,14,,,,,,,36,3,,,,,35,19,,,,,,,,,,,,,,,9,2,31,9,29,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,14,7,9,221,6,,,,,,,,,,,,,,,,,,,,,1379,5,,,,,319,18,,,,,131,5,2005,7,,,,,,,,,,,7,4,,,,,39,6,,,90,6,79,6,,,,,45,10,15,2,,,1060,1,,,,,,,,,,,,,398,3,,,,,111,7,,,,,196,4,14,2,,,,,,,,,,,,,,,,,9,7,,,,,,,,,,,1153,8
13,14,2162,21508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,,9,34,,,,,,,145,17,,,,,41,23,1207,27,,,,,,,,,11387,9,,,661,27,,,,,,,125,20,,,709,28,,,,,1,4,,,,,,,,,,,,,,,16,43,,,,,,,,,,,204,10,,,,,,,12,19,,,,,,,8,7,454,22,8,110,,,,,,,4,4,,,,,45,14,,,,,,,,,,,,,,,,,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,49,2,18,,,,,,,,,,,,,,,,,,,,,,,516,16,,,,,198,21,,,,,12,11,4752,3,,,,,,,,,,,,,,,,,3,9,,,,,5,18,,,,,34,12,,,,,87,31,,,,,,,,,,,,,,,,,,,27,18,,,,,96,9,,,,,,,,,34,15,,,,,,,,,,,,,,,,,,,,,610,14
14,15,811,20714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,8,,,,,,,20,38,,,,,,,2484,15,,,,,,,,,4842,21,6,15,2577,5,,,,,,,136,18,,,2145,8,,,,,,,,,,,,,4,7,,,,,,,611,5,,,,,,,,,,,175,12,,,,,,,,,,,,,,,,,98,70,262,29,,,,,,,,,,,,,317,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3199,1,,,32,25,,,,,,,,,,,,,,,,,,,,,586,13,,,,,584,10,,,,,157,4,320,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2086,6
15,16,320,19515,,,,,,,,,,,130,8,,,,,15,4,,,,,,,,,5,1,,,87,9,,,,,,,,,10,5,,,,,77,6,,,,,,,119,18,,,9,4,216,7,1266,26,,,,,111,7,,,9154,11,30,2,996,20,28,10,,,77,13,239,10,,,1471,12,,,,,,,4,3,,,5,2,,,17,3,,,,,82,22,69,5,,,,,,,,,275,8,,,,,,,380,4,,,,,,,8,6,252,37,266,28,,,,,10,5,,,,,15,3,24,26,,,,,,,4,8,,,,,,,,,30,10,20,9,,,,,,,,,8,6,,,,,281,3,,,,,,,,,,,,,1098,8,9,6,213,7,,,,,,,2,6,,,,,,,,,,,,,525,15,,,,,331,17,,,,,102,8,793,15,,,,,,,,,,,,,4,3,,,,,,,78,9,70,7,,,,,,,,,,,82,33,,,,,18,5,,,5,4,,,23,12,,,,,22,22,,,6,1,52,13,,,,,,,,,54,12,,,,,,,,,11,6,,,,,,,,,,,227,25
16,17,13,18373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,3,,,,,,,111,19,,,7,6,39,26,2315,17,,,,,36,11,,,7677,12,5,18,2102,9,,,9,5,,,28,44,9,2,733,27,,,,,,,,,,,1,4,,,,,,,,,779,4,,,,,,,,,,,135,15,,,6,1,,,,,,,,,,,,,279,34,1105,13,,,,,,,,,,,,,47,12,,,,,,,,,,,,,,,,,,,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718,12,18,3,68,17,,,,,,,,,,,,,,,,,,,,,181,26,,,,,406,13,,,,,46,9,593,19,,,,,,,,,,,,,,,,,,,,,22,15,56,9,,,,,53,9,,,,,237,10,,,,,,,,,,,,,,,,,,,21,23,,,,,,,,,,,,,,,19,18,,,,,,,,,,,,,,,,,,,,,391,18
17,18,2425,14912,,,,,,,,,,,78,10,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,20,21,,,,,,,155,15,,,,,69,17,1423,24,,,,,,,,,3836,26,11,7,1021,18,,,7,8,163,9,169,12,,,1376,13,,,,,,,,,,,,,,,,,,,,,139,11,,,,,,,,,,,158,14,,,,,,,,,,,,,,,,,719,13,504,19,,,,,,,,,,,,,9,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,26,,,,,,,,,,,,,,,,,,,,,,,,,896,8,,,,,692,6,,,,,123,6,2507,6,,,,,,,,,,,,,,,,,,,,,77,10,,,,,,,,,,,,,142,21,,,,,7,7,,,,,,,,,,,,,,,,,,,169,6,,,,,,,,,43,14,,,,,,,,,,,,,,,,,,,,,123,32
18,19,50381,14506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,43,1027,33,,,,,,,,,10473,10,,,897,22,,,,,73,15,154,15,,,364,47,,,,,,,,,,,,,,,,,,,,,134,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,16,102,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,5072,14031,,,,,,,,,,,2,23,,,,,,,,,,,,,,,,,,,20,17,,,,,157,2,,,,,,,,,5,57,,,,,,,,,,,,,126,9,381,75,,,,,,,,,7384,13,3,30,76,79,,,,,37,17,,,,,344,48,,,,,,,,,,,,,,,55,2,,,,,,,796,2,,,,,,,,,,,,,,,,,148,9,,,,,,,,,89,74,3115,2,,,,,,,,,,,,,13,40,,,,,,,,,,,,,,,,,,,,,,,,,31,1,,,37,2,,,438,2,119,4,,,,,,,,,,,,,55,62,7,10,153,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,58,,,,,,,,,,,,,,,,,,,40,2,,,,,,,,,,,,,,,40,48,,,,,206,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,53
20,21,181,13841,12,4,,,,,,,,,86,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,17,,,,,,,,,,,,,115,10,1414,25,,,,,,,,,6602,16,,,1868,11,,,5,10,,,58,32,,,956,18,,,,,,,,,,,,,,,,,,,,,134,14,,,,,250,6,,,,,74,22,,,,,,,,,,,,,,,,,247,38,116,48,,,,,,,,,,,,,,,,,,,,,4,7,,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,21,,,34,23,,,,,,,,,,,,,,,,,,,,,164,27,,,,,158,27,,,,,,,591,20,,,,,,,,,,,,,,,,,164,2,,,,,,,,,2,3,,,,,,,190,13,,,,,,,,,,,,,18,14,,,,,37,13,,,,,39,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,29
21,22,1294,13435,,,,,,,,,,,34,15,,,,,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,19,,,,,,,,,,,,,66,19,892,39,,,,,,,,,6801,15,8,11,810,23,,,9,6,44,16,146,16,,,2001,10,,,,,,,,,,,,,15,3,,,,,,,146,10,,,,,,,,,,,109,16,,,,,,,34,13,,,,,8,2,,,983,8,,,,,,,,,,,,,,,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9,,,,,,,,,,,,,346,19,,,25,29,,,,,,,8,2,,,,,,,,,,,,,51,47,,,,,,,,,,,,,449,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,17,,,,,,,,,,,,,35,11,,,,,24,20,,,,,19,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,28
22,23,2136,12854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,8,,,,,,,,,,,,,,,,,,,,,,,330,7,,,,,,,2950,12,,,,,,,,,3748,27,6,16,262,41,,,,,959,4,,,,,391,45,,,,,,,,,,,,,,,,,,,,,,,,,,,161,8,,,,,218,9,5,9,,,,,,,,,,,,,,,443,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,,,,,,,,,,,,,,,,,,,,,1481,6,,,,,,,,,,,,,,,,,,,,,,,,,973,7,,,,,,,,,,,,,79,68,,,,,,,,,,,,,,,,,10,7,,,167,4,,,,,4,2,,,5,3,,,465,9,,,,,,,,,,,,,,,,,,,30,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,73
23,24,266192,12414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12414,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,3886,11603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,5,,,,,,,,,,,,,,,11,30,,,,,,,234,10,,,,,105,12,3453,9,,,,,,,,,1832,54,1,46,517,31,27,11,1,18,97,12,168,13,,,581,36,,,,,3,3,,,,,,,,,,,,,,,32,36,,,,,,,,,,,667,3,,,,,,,,,,,,,,,,,1126,7,112,50,,,,,,,,,,,,,12,43,,,,,,,,,7,2,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,32,3,14,134,11,,,,,,,,,,,,,,,,,,,,,256,22,,,,,748,5,,,,,193,3,243,35,,,,,,,,,,,,,,,,,,,,,88,7,15,14,,,,,301,3,,,,,103,27,,,,,,,,,,,,,,,,,,,43,11,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,44
