bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
13,34535,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,8,,,,,,,241,14,,,5,8,35,24,2961,17,,,,,,,200,8,,,15472,7,4,24,3994,14,,,6,9,,,56,38,,,6,2,1453,21,,,,,,,,,,,,,3,4,,,,,,,,,2159,4,,,,,,,,,,,225,13,,,12,1,,,,,,,,,,,,,881,27,1565,11,,,,,,,,,,,,,116,11,,,,,,,,,,,,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1739,5,37,2,93,16,,,,,,,,,,,,,,,,,,,,,485,20,,,,,590,14,,,,,69,9,1093,16,,,,,,,,,,,,,,,,,,,,,21,15,63,8,,,,,115,7,,,,,195,13,,,,,,,,,,,,,,,,,,,52,24,,,,,,,,,,,,,,,30,18,,,,,,,,,,,,,,,,,,,,,,,417,22
2093,34130,12,,,,,,,,,,,98,14,,,,,,,27,4,,,,,,,,,,,76,11,,,,,36,5,19,3,,,,,,,94,10,12,2,,,,,122,21,,,,,63,19,1601,27,,,,,,,,,,,12951,10,14,6,1729,23,,,,,84,16,106,26,,,,,1267,25,,,,,,,,,23,2,,,,,,,,,17,2,,,139,23,19,7,,,96,12,,,,,102,19,13,7,,,,,124,11,,,,,,,,,1003,24,5700,2,,,23,3,17,3,,,1,4,,,181,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,7,,,,,,,,,,,,,412,26,,,42,24,,,,,,,,,,,,,,,,,,,,,402,23,,,,,574,15,,,,,,,1428,11,,,,,22,2,,,,,,,,,,,,,,,65,12,24,14,,,,,,,31,1,,,147,17,,,19,2,,,,,,,,,358,4,,,,,151,12,,,,,68,15,,,,,,,,,692,4,,,,,,,,,,,23,3,,,,,,,,,16,1,3849,2
320,33544,13,,,,,,,,,,,301,11,,,,,16,2,,,,,,,,,19,1,,,336,6,,,,,,,,,12,3,,,,,127,6,,,,,,,207,16,,,16,4,89,14,3711,11,,,,,,,756,5,,,8420,22,18,3,4068,13,80,5,,,98,15,401,8,,,,,4686,7,,,,,11,3,13,2,,,,,18,2,,,34,4,,,,,257,15,85,4,,,,,,,,,814,3,,,,,,,569,4,,,,,,,17,4,946,25,300,30,,,,,14,4,,,,,18,3,51,18,,,,,,,14,4,,,,,,,,,93,8,52,8,,,,,,,,,12,7,,,,,140,5,,,,,,,,,,,,,1406,9,25,3,111,14,,,,,,,9,4,,,,,,,,,,,,,1752,9,,,,,777,13,,,,,279,5,1223,14,,,,,,,,,,,,,14,3,,,,,,,193,5,205,4,,,,,31,13,,,,,118,22,,,,,18,5,,,,,,,17,16,,,,,55,20,,,31,1,82,11,,,,,,,,,55,13,,,,,,,,,,,14,5,,,,,,,,,,,310,24
181,32859,14,18,3,,,,,,,,,483,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,15,,,,,,,,,,,,,230,5,3553,12,,,,,,,,,,,15190,8,,,4442,10,,,5,12,,,89,30,,,,,2643,12,,,,,,,,,,,,,,,,,,,,,,,395,8,,,,,958,2,,,,,113,18,,,,,,,,,,,,,,,,,565,38,189,41,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,69,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852,13,,,75,17,,,,,,,,,,,,,,,,,,,,,410,22,,,,,382,18,,,,,,,702,20,,,,,,,,,,,,,,,,,792,2,,,,,,,,,2,3,,,,,,,235,10,,,,,,,,,,,,,28,12,,,,,110,14,,,,,70,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,30
2136,29771,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613,5,,,,,,,,,,,,,,,,,,,,,,,938,3,,,,,,,6436,5,,,,,,,,,,,7817,23,4,26,638,39,,,,,2593,4,,,,,,,924,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,7,,,,,483,7,16,6,,,,,,,,,,,,,,,1338,19,,,,,,,,,,,,,,,34,24,,,,,,,,,,,,,,,,,,,,,,,,,,,57,3,,,,,,,,,,,,,,,,,,,,,2579,3,,,,,,,,,,,,,,,,,,,,,,,,,3296,5,,,,,,,,,,,,,81,74,,,,,,,,,,,,,,,,,16,6,,,513,1,,,,,7,2,,,11,3,,,351,8,,,,,,,,,,,,,,,,,,,568,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,38
2181,27432,16,,,,,,,,,,,87,15,,,,,,,,,,,17,2,,,,,,,331,7,,,,,,,,,,,,,,,45,18,,,,,,,608,6,,,,,103,11,1689,23,,,,,,,283,7,,,7816,24,13,8,1768,22,228,2,5,14,,,188,18,,,,,1131,30,,,,,,,,,,,,,,,,,,,,,,,290,13,,,,,145,11,,,,,302,11,,,,,,,285,8,,,,,,,19,3,1344,18,875,14,,,,,,,88,3,,,,,33,25,,,,,,,,,,,,,,,23,3,48,10,62,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598,22,15,7,138,12,,,,,,,,,,,,,,,,,,,,,1644,10,,,,,322,21,,,,,220,7,2252,9,,,,,,,,,,,23,2,,,,,23,5,,,106,10,62,9,,,,,75,11,22,2,,,2148,1,,,,,,,,,,,,,128,6,,,,,227,11,,,,,231,6,18,2,,,,,,,,,,,,,,,,,,,13,7,,,,,,,,,,,1341,9
29351,26146,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,172,18,,,,,,,3802,10,,,,,,,,,,,4646,37,,,475,45,132,3,,,,,100,28,,,,,1145,27,,,,,,,,,,,,,,,,,,,,,,,621,6,,,,,,,,,,,50,26,43,5,,,,,,,,,,,,,,,,,149,49,,,,,,,,,,,,,15,48,,,,,,,,,,,,,,,,,590,1,157,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,37,,,,,,,,,,,,,,,,,,,,,,,,,1929,6,,,,,,,,,,,,,10023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,43,,,,,,,,,,,,,,,,,,,,,,,,,1114,1,,,,,,,,,678,5,,,,,,,,,,,,,,,,,,,,,,,63,52
3886,24769,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,1,,,,,,,,,,,,,,,30,25,,,,,,,424,11,,,,,85,16,7350,2,,,,,,,,,,,3112,50,3,39,964,29,26,12,2,16,596,7,313,10,,,,,900,41,,,,,7,5,,,,,,,,,,,,,,,,,36,40,,,,,,,,,,,1198,2,,,,,,,,,,,,,,,,,3275,7,86,58,,,,,,,,,,,,,29,32,,,,,,,,,11,2,,,7,13,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,41,5,16,111,15,,,,,,,,,,,,,,,,,,,,,735,17,,,,,1018,9,,,,,652,3,280,41,,,,,,,,,,,,,,,,,,,,,165,6,44,12,,,,,1690,2,,,,,107,23,,,,,,,,,,,,,,,,,,,305,10,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,44
1294,23505,19,,,,,,,,,,,98,13,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,16,,,,,,,,,,,,,54,20,1709,22,,,,,,,,,,,9790,16,5,17,1861,21,,,7,7,227,13,169,20,,,,,3758,9,,,,,,,,,,,,,,,26,2,,,,,,,343,11,,,,,,,,,,,186,14,,,,,,,41,12,,,,,8,3,,,2850,9,,,,,,,,,,,,,,,344,4,,,,,,,,,,,,,,,,,,,10,12,,,,,,,,,,,,,,,7,10,,,,,,,,,,,,,722,17,,,37,26,,,,,,,6,5,,,,,,,,,,,,,73,49,,,,,,,,,,,,,650,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,12,,,,,152,16,,,,,,,,,,,,,36,11,,,,,55,21,,,,,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,33
25821,22554,20,,,,,,,,,,,393,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682,24,,,,,,,,,,,1382,89,10,10,2073,19,,,,,,,,,,,,,10812,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2058,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1438,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,7,,,,,,,,,,,,,,,,,,,,,,,2107,6
2162,21599,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,,,15,38,,,,,,,103,22,,,,,18,39,1176,35,,,,,,,,,,,10483,14,,,740,36,,,,,,,119,25,,,,,931,38,,,,,7,4,,,,,,,,,,,,,,,,,23,44,,,,,,,,,,,157,15,,,,,,,6,20,,,,,,,9,6,802,29,168,43,,,,,,,3,4,,,,,47,20,,,,,,,,,,,,,,,,,23,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,57,6,13,,,,,,,,,,,,,,,,,,,,,,,504,19,,,,,198,33,,,,,16,11,4544,6,,,,,,,,,,,,,,,,,9,8,,,,,8,16,,,,,14,15,,,,,133,19,,,,,,,,,,,,,,,,,,,33,26,,,,,107,9,,,,,,,,,7,25,,,,,,,,,,,,,,,,,,,,,,,1079,10
50381,21129,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,29,1782,19,,,,,,,,,,,15578,6,,,791,33,,,,,101,14,106,27,,,,,248,73,,,,,,,,,,,,,,,,,,,,,,,168,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723,14,73,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,20574,23,12,5,15,3,,,,,,,,,,,,,,,9,5,,,,,,,,,,,31,16,,,,,,,,,5,6,,,,,43,20,,,,,,,186,17,,,,,48,22,1715,21,,,,,,,,,,,9336,19,8,11,919,30,25,13,5,13,14,23,90,29,,,,,948,36,,,,,,,,,,,,,,,,,,,,,,,90,25,,,,,26,14,,,,,78,22,,,,,,,36,14,,,,,,,,,752,33,2211,6,,,,,,,,,,,,,26,35,,,,,,,5,8,,,,,,,,,21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,30,7,11,28,30,,,,,,,,,,,,,,,,,,,,,324,25,,,,,795,12,,,,,,,1272,12,,,,,,,,,,,,,,,,,,,,,,,9,15,,,,,13,18,,,,,121,21,,,,,,,,,,,,,59,9,,,,,53,23,,,,,58,17,,,,,,,,,39,17,,,,,,,,,,,,,,,,,,,,,,,814,13
1258,16163,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,38,,,,,,,1670,25,,,,,,,,,,,14310,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
