,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2181,23275,,,,,,,,,,,,,,,,,,,,,8,2,,,,,247,3,,,,,,,,,,,,,,,39,9,,,,,,,133,11,,,,,171,5,1590,13,,,,,381,3,,,6714,17,18,5,1355,10,75,3,7,12,,,172,7,,,1576,5,,,,,,,,,,,,,,,,,,,218,9,,,,,75,9,,,,,203,6,,,,,529,4,,,,,,,16,2,71,78,1000,12,,,,,,,25,2,,,,,27,25,,,,,,,,,,,,,69,5,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,878,4,9,7,154,6,,,,,,,,,,,,,,,1598,3,,,,,347,13,,,156,3,1823,9,,,,,,,7,2,,,,,13,7,,,54,9,22,9,,,,,,,8,2,,,798,2,,,,,,,,,,,250,3,,,,,1220,3,,,,,92,4,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096,5
11,12,181,17148,11,4,,,,,,,,,206,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,20,,,,,,,,,,,,,99,9,1510,14,,,,,,,,,9686,9,,,1405,9,,,21,3,,,85,21,,,922,13,,,,,,,,,,,,,,,,,,,222,8,,,,,164,5,,,,,120,14,,,,,,,,,,,,,,,194,37,141,39,,,,,,,,,,,,,,,,,,,8,7,,,,,,,29,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,16,,,67,12,,,,,,,,,,,,,,,323,16,,,,,139,25,,,,,756,17,,,,,,,,,,,,,121,3,,,,,,,,,1,2,,,,,,,317,6,,,,,,,,,,,22,10,,,,,106,14,,,,,20,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,27
12,13,2243,16515,,,,,,,,,,,,,,,,,,,,,,,,,,,21,13,,,,,,,,,,,,,,,8,50,,,,,,,,,,,,,,,4567,3,,,,,,,,,7350,13,,,,,,,,,,,,,,,1245,10,,,,,,,,,,,,,,,,,,,,,,,,,67,10,,,,,150,11,,,,,,,,,,,,,,,499,20,192,34,,,,,,,,,,,,,8,55,,,,,,,,,,,,,51,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649,8,,,,,,,,,,,,,,,,,,,57,56,,,,,424,10,,,17,10,798,16,,,,,,,4,6,,,,,,,,,,,41,6,,,,,334,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,63
13,14,320,15802,,,,,,,,,,,103,7,,,,,,,,,,,,,,,91,9,,,,,,,,,11,4,,,,,60,4,,,,,,,106,12,,,14,3,21,27,1089,22,,,,,108,6,,,6743,15,20,4,1109,16,30,6,,,23,13,114,15,,,1436,8,,,,,,,3,4,,,6,2,,,12,3,,,70,20,18,6,,,,,,,,,246,3,,,,,417,5,,,,,,,10,6,189,39,401,23,,,,,9,3,,,,,10,3,53,14,,,,,13,4,,,,,,,21,11,,,,,,,,,7,5,,,,,38,6,,,,,,,,,,,,,570,9,21,3,51,19,,,,,1,7,,,,,,,,,471,10,,,,,176,21,,,70,6,1111,13,,,,,,,,,7,3,,,,,,,55,8,54,4,,,,,,,,,,,71,23,,,,,8,6,,,8,4,20,11,,,,,139,12,,,4,1,36,13,,,,,,,,,41,9,,,,,,,,,,,,,,,,,,,,,287,18
14,15,13,15119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,10,,,,,,,86,14,,,3,7,60,14,1206,19,,,,,,,,,7582,12,6,21,1253,11,,,8,10,,,,,2,2,674,18,,,,,,,,,,,,,,,,,,,571,3,,,,,,,,,,,129,13,,,,,,,,,,,,,,,349,27,1020,11,,,,,,,,,,,,,151,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,111,9,6,39,22,,,,,,,,,,,,,,,290,23,,,,,251,17,,,44,9,747,18,,,,,,,,,,,,,,,,,11,14,21,10,,,,,47,6,,,,,149,11,,,,,,,,,,,,,,,,,20,27,,,,,,,,,,,,,,,7,15,,,,,,,,,,,,,,,,,,,,,342,15
15,16,1294,13289,,,,,,,,,,,54,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,15,,,,,,,,,,,,,49,17,825,30,,,,,,,,,7298,14,7,16,744,20,,,,,,,280,4,,,1456,7,,,,,,,,,,,,,,,,,,,182,10,,,,,,,,,,,79,20,,,,,34,13,,,,,7,2,,,794,9,,,,,,,,,,,,,,,35,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,,,353,14,,,24,26,,,,,4,5,,,,,,,,,67,45,,,,,,,,,,,577,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,15,,,,,,,,,,,,,,,,,38,25,,,,,11,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,22
16,17,2425,13280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,25,17,,,,,,,,,,,,,110,8,1093,21,,,,,,,,,4298,22,3,33,1474,8,,,4,14,58,10,156,10,,,1031,11,,,,,,,,,,,,,,,,,,,98,17,,,,,,,,,,,51,25,,,,,,,,,,,,,,,574,15,667,16,,,,,,,,,,,,,10,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,23,,,,,,,,,,,,,,,,,,,292,22,,,,,567,8,,,104,4,2077,6,,,,,,,,,,,,,,,,,56,7,,,,,,,,,,,,,98,20,,,,,8,7,,,,,,,,,,,,,,,,,40,12,,,,,,,,,26,11,,,,,,,,,,,,,,,,,,,,,165,24
17,18,25821,11707,,,,,,,,,,,68,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3233,7,,,,,,,,,591,123,12,8,1150,15,,,,,,,,,,,2709,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2769,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161,1,,,,,,,,,,,,,,,,,,,,,,,,,14,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,2719,11676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,84,,,,,,,8,47,,,,,19,31,584,40,,,,,,,,,9335,11,8,12,327,31,,,,,,,47,29,,,574,22,,,,,,,,,,,,,,,,,,,92,18,,,,,,,,,,,7,48,,,,,,,,,,,,,,,160,44,,,,,,,,,,,,,,,6,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,38,,,,,,,,,,,,,,,,,,,40,71,,,,,,,,,,,174,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,40,,,,,,,,,,,,,,,,,,,,,,,1,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,26
19,20,27443,11483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,30,,,,,,,84,16,,,8,4,26,23,805,32,,,,,,,,,801,96,9,11,545,24,16,11,,,,,65,25,,,375,37,,,,,,,,,,,,,,,,,,,,,,,,,37,13,,,,,,,,,,,,,,,,,,,,,384,26,2517,4,,,,,,,,,,,,,1675,2,,,,,,,,,,,,,,,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,229,19,,,,,,,,,,,,,,,,,,,283,24,,,,,267,16,,,,,690,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607,1
20,21,2136,10338,,,,,,,,,,,,,,,,,,,,,,,,,,,107,8,,,,,,,,,,,,,,,,,,,,,,,247,6,,,,,,,3657,5,,,,,,,,,2444,42,11,9,145,48,,,,,249,4,,,,,234,53,,,,,,,,,,,,,,,,,,,,,,,,,213,3,,,,,152,10,,,,,,,,,,,,,,,833,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,,,,,,,,,,,,,,,657,6,,,,,,,,,,,,,,,,,,,867,5,,,,,,,,,,,69,64,,,,,,,,,,,,,48,5,,,63,6,,,,,,,,,5,3,,,253,7,,,,,,,,,,,,,,,,,56,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,126
21,22,5072,9473,,,,,,,,,,,2,20,,,,,,,,,,,,,,,10,18,,,,,74,2,,,,,,,,,11,39,,,,,,,,,,,,,117,7,532,41,,,,,,,,,6718,16,2,41,61,73,,,,,,,,,,,314,41,,,,,,,,,,,,,,,10,4,,,,,496,2,,,,,,,,,,,,,,,194,7,,,,,,,,,78,73,263,29,,,,,,,,,,,,,15,39,,,,,,,,,,,,,,,,,,,23,1,,,23,2,,,150,2,,,,,,,,,,,,,,,35,65,9,8,118,7,,,,,,,,,,,,,,,,,,,,,,,,,,,102,55,,,,,,,,,,,,,,,13,2,,,,,,,,,,,,,,,22,53,,,,,34,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,51
22,23,811,9026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,7,,,,,,,12,35,,,,,,,1077,23,,,,,,,,,3043,33,,,1221,12,,,,,,,89,19,,,663,19,,,,,,,,,,,,,,,,,,,407,5,,,,,,,,,,,65,23,,,,,,,,,,,,,,,53,87,193,33,,,,,,,,,,,,,259,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,5,,,21,30,,,,,,,,,,,,,,,292,21,,,,,337,14,,,45,8,448,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,822,9022,,,,,,,,,,,,,,,,,,,,,,,,,,,19,14,,,,,,,,,,,,,,,12,32,,,,,,,,,,,2,8,5,61,1354,18,,,,,,,,,3447,30,5,26,411,27,,,,,,,183,6,,,361,38,,,,,,,,,,,,,,,,,,,59,24,,,,,,,,,,,71,21,,,,,,,,,,,,,,,479,21,494,18,,,,,,,,,,,,,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,15,4,14,60,15,,,,,,,,,,,,,,,457,11,,,,,84,30,,,,,644,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,16,,,,,,,,,,,,,,,,,,,,,,,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,12
24,25,6819,8419,,,,,,,,,,,,,,,,,,,,,,,,,,,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,16,5578,2,,,,,,,,,1422,65,8,13,36,94,,,,,,,15,57,,,232,54,,,,,,,,,,,,,,,,,,,38,31,,,,,,,,,,,,,,,,,,,,,,,7,3,,,102,60,76,52,,,,,,,,,,,,,24,26,,,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,60,54,,,23,29,,,,,,,,,,,,,,,296,20,,,,,36,44,,,,,189,42,,,,,,,,,,,,,,,,,15,13,,,,,,,,,,,,,78,22,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,36
25,26,2392,7702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,29,,,,,,,86,15,,,,,,,846,29,,,,,,,,,4140,26,,,305,32,,,5,13,109,8,,,,,636,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,37,,,,,,,,,,,,,,,298,30,273,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,18,,,34,23,,,,,,,,,,,,,,,307,17,,,,,203,20,,,,,,,,,,,,,,,,,,,,,,,4,23,,,,,,,23,8,,,,,107,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,46
26,27,5432,7424,,,,,,,,,,,84,8,,,13,2,,,,,,,,,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,74,,,,,,,,,4580,20,,,1176,14,,,,,136,7,16,56,,,130,76,,,,,,,,,,,,,,,14,2,,,66,22,86,3,,,,,,,,,,,,,,,261,6,,,,,,,,,119,53,74,55,,,,,,,,,,,,,11,45,,,,,,,,,,,,,,,21,6,,,,,,,9,4,,,26,3,,,,,,,,,,,,,,,91,42,8,9,33,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,,,21,2,95,6,,,,,,,,,,,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,33
27,28,2952,7118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,16,,,,,,,,,,,,,71,13,858,28,,,,,,,,,3594,29,6,22,548,23,,,8,11,,,135,12,,,637,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,18,,,,,,,,,438,23,30,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,20,,,52,18,,,,,,,,,,,,,,,,,,,,,116,28,,,,,120,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
