,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,ary,ary_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,2181,21701,,,,,,,,,,,150,12,,,,,,,,,,,,,,,,,,,2,3,,,,,,,254,3,,,,,,,,,,,,,,,25,25,,,,,,,119,17,,,,,86,10,1670,16,,,,,,,165,5,,,6391,15,17,2,1062,16,80,2,7,14,,,175,9,,,,,1299,14,,,,,,,,,,,,,,,,,,,,,,,225,9,,,,,74,11,,,,,411,4,,,,,,,167,7,,,,,,,20,2,624,14,902,13,,,,,,,42,3,,,,,30,31,,,,,,,,,,,,,,,12,2,,,44,8,52,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,17,14,2,110,9,,,,,,,,,,,,,,,,,,,,,931,5,,,,,261,17,,,,,143,6,2152,7,,,,,,,,,,,4,3,,,,,23,5,,,69,8,30,9,,,,,37,12,7,2,,,752,2,,,,,,,,,,,,,108,6,,,,,,,501,6,,,,,222,5,17,2,,,,,,,,,,,,,,,,,10,4,,,,,,,,,,,1787,8
11,12,2425,19952,,,,,,,,,,,135,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,39,13,,,,,,,224,7,,,,,81,11,1556,19,,,,,,,,,,,5240,20,6,21,2728,5,,,4,18,192,9,155,11,,,,,1328,13,,,,,7,5,,,,,,,,,,,,,,,,,157,11,,,,,,,,,,,180,10,14,7,,,,,,,,,,,,,,,953,8,467,21,,,,,,,,,,,,,17,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,19,,,,,,,,,,,,,,,,,,,,,,,,,564,8,,,,,1120,4,,,,,254,2,3062,6,,,,,,,,,,,,,,,,,,,,,56,10,,,,,,,,,,,,,184,11,,,,,9,6,,,,,,,,,,,,,,,219,10,,,,,328,3,,,,,,,,,46,15,,,,,,,,,,,,,,,,,,,,,272,27
12,13,320,19271,,,,,,,,,,,97,16,,,,,,,,,23,4,,,,,,,,,,,,,11,1,,,103,8,,,,,,,,,24,3,,,,,67,3,,,,,,,216,8,,,9,4,44,21,1631,18,,,,,,,140,6,,,7946,12,6,20,1402,11,14,11,11,5,80,13,220,7,,,,,2722,7,,,,,11,2,5,3,,,,,8,3,16,2,14,3,,,,,89,19,65,5,,,,,,,,,253,6,,,,,,,116,10,,,,,,,12,6,260,32,255,30,,,,,14,2,,,,,19,2,61,13,,,,,,,8,4,,,,,,,,,,,24,9,14,12,,,,,,,,,16,5,,,,,137,5,,,,,,,,,,,,,699,9,12,6,54,16,,,,,,,9,4,,,,,,,,,,,,,385,15,,,,,192,20,,,,,99,8,869,17,,,,,,,,,,,,,5,3,,,,,,,90,6,55,5,,,,,23,14,,,,,68,30,,,,,13,5,,,,,,,31,12,,,,,28,2,62,20,,,18,1,49,16,,,,,,,,,62,14,,,,,,,,,5,8,,,,,,,,,,,280,26
13,14,2243,17754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,14,,,,,,,,,,,,,,,16,32,,,,,,,,,,,,,,,3911,5,,,,,,,,,,,5967,17,,,,,,,,,,,16,67,,,,,1970,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,6,,,,,150,11,,,,,,,,,,,,,,,,,622,15,649,16,,,,,,,,,,,,,17,48,,,,,,,,,,,,,,,,,,,46,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084,4,,,,,,,,,,,5,7,,,,,,,,,,,,,1028,4,,,,,401,13,,,,,31,12,929,15,,,,,,,,,,,2,6,,,,,,,,,,,49,6,,,,,438,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,29
14,15,13,17183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,15,,,,,,,101,19,,,8,6,39,22,1964,13,,,,,,,45,10,,,7394,14,9,11,1648,10,,,14,3,,,49,36,,,2,2,749,26,,,,,,,,,,,,,,,,,,,,,,,657,5,,,,,,,,,,,114,13,,,3,1,,,,,,,,,,,,,310,27,1035,12,,,,,,,,,,,,,54,15,,,,,,,,,,,,,,,,,,,,,22,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709,8,13,5,38,22,,,,,,,,,,,,,,,,,,,,,161,28,,,,,281,16,,,,,52,9,702,18,,,,,,,,,,,,,,,,,,,,,15,19,37,8,,,,,59,9,,,,,130,17,,,,,,,,,,,,,,,,,,,,,26,32,,,,,36,20,,,,,,,,,26,20,,,,,,,,,,,,,,,,,,,,,646,17
15,16,29351,16618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,,,,,,,,,,,,,,,,,5,77,,,,,,,119,18,,,,,,,3019,8,,,,,,,,,,,2788,38,,,163,52,74,3,,,,,81,29,,,,,465,42,,,,,,,,,,,,,,,,,,,,,,,274,8,,,,,,,,,,,36,29,26,5,,,,,,,,,,,,,,,,,94,59,,,,,,,,,,,,,19,42,,,,,,,,,,,,,,,,,,,130,2,77,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,37,,,,,,,,,,,,,,,,,,,,,,,,,516,11,,,,,,,,,,,,,7234,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,53,,,,,,,,,,,,,,,,,,,,,,,,,,,602,2,,,,,,,,,589,5,,,,,,,,,,,,,,,,,,,,,115,46
16,17,181,16194,13,4,,,,,,,,,235,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,16,,,,,,,,,,,,,112,8,1663,17,,,,,,,,,,,9655,10,,,946,19,,,3,21,,,91,25,,,,,985,21,,,,,,,,,,,,,,,,,,,,,,,124,15,,,,,161,7,,,,,53,21,,,,,,,,,,,,,,,,,160,46,104,56,,,,,,,,,,,,,,,,,,,,,3,10,,,,,,,,,,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,20,,,47,18,,,,,,,,,,,,,,,,,,,,,102,34,,,,,136,28,,,,,,,639,19,,,,,,,,,,,,,,,,,160,2,,,,,,,,,1,5,,,,,,,118,20,,,,,,,,,,,,,18,14,,,,,,,51,24,,,,,27,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,31
17,18,1294,16176,,,,,,,,,,,35,23,,,,,,,,,8,7,,,,,,,,,,,,,,,,,9,23,,,,,,,,,,,,,,,15,35,,,,,,,,,,,,,54,18,1290,23,,,,,,,,,,,9003,11,5,26,902,21,,,11,6,100,11,105,22,,,,,1741,12,,,,,,,,,,,,,,,7,5,,,,,,,169,10,,,,,,,,,,,54,20,,,,,,,33,11,,,,,5,4,9,8,723,9,,,,,,,,,,,,,,,152,8,,,,,,,,,,,,,,,,,,,,,18,10,,,,,,,3,4,,,,,,,7,11,,,,,,,,,,,,,661,11,,,29,24,,,,,,,4,9,,,,,,,,,,,,,45,49,,,,,,,,,,,,,391,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,10,,,,,136,15,,,,,,,,,,,,,66,10,,,,,,,21,36,,,,,12,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,24
18,19,2136,16104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,4,,,,,,,,,,,,,,,,,,,,,,,284,5,,,,,,,3511,7,,,,,,,,,,,5442,19,7,16,378,35,,,,,1959,4,,,,,,,403,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,5,,,,,201,9,23,6,,,,,,,,,,,,,,,332,24,,,,,,,,,,,,,,,20,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,,,,,,,,,,,,,,,,,,,,,929,7,,,,,,,,,,,,,,,,,,,,,,,,,920,6,,,,,,,,,,,,,58,80,,,,,,,,,,,,,,,,,11,8,,,129,3,,,,,11,3,162,4,,,,,455,5,,,,,,,,,,,,,,,,,,,,,301,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,52
19,20,5072,14639,,,,,,,,,,,1027,5,,,,,,,,,,,,,,,,,,,,,,,,,,,24,16,,,,,101,2,,,,,,,,,8,60,,,,,,,,,,,,,138,6,738,37,,,,,,,,,,,9887,9,9,14,97,68,,,,,17,20,,,,,,,568,38,,,,,,,,,,,,,,,,,85,2,,,,,,,358,2,,,,,,,,,,,,,,,,,122,9,,,,,,,,,81,75,245,31,,,,,,,,,,,,,42,20,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2,,,62,2,,,176,2,61,6,,,,,,,,,,,,,124,41,8,10,77,12,,,,,,,,,,,,,,,,,,,,,,,,,,,40,49,,,,,,,100,59,,,,,,,,,,,,,,,,,,,39,2,,,,,,,,,,,,,,,27,55,,,,,224,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,47
20,21,25821,12116,,,,,,,,,,,576,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353,21,,,,,,,,,,,841,105,7,19,917,20,,,,,,,,,,,,,4117,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2135,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,9,,,,,,,,,,,,,,,,,,,,,500,21
21,22,3886,10943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,5,,,,,,,,,,,,,,,14,37,,,,,,,151,14,,,,,59,15,2565,9,,,,,,,,,,,2416,43,3,43,465,33,17,10,10,11,109,10,142,14,,,,,684,30,,,,,2,6,,,,,,,,,,,,,,,,,36,35,,,,,,,,,,,512,3,,,,,,,,,,,,,,,,,690,12,231,35,,,,,,,,,,,,,31,30,,,,,,,,,12,2,,,8,2,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,39,1,17,115,8,,,,,,,,,,,,,,,,,,,,,255,20,,,,,625,7,,,,,253,3,204,44,,,,,,,,,,,,,,,,,,,,,77,7,13,15,,,,,294,3,,,,,115,21,,,,,,,,,,,,,,,,,,,,,381,8,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,58
22,23,2398,9813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,19,652,43,,,,,,,,,,,7421,13,3,40,219,44,,,,,,,47,37,,,,,534,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,71,135,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,32,,,,,,,,,,,,,,,,,,,,,,,,,100,35,,,,,,,,,,,,,189,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,13,,,,,,,,,,,,,,,,,,,,,38,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
