num_players,num_matches,players_per_match,p_deterministic,elo_k,elo_scale,mean,std_dev,p00,p01,p25,p50,p75,p99,p100
1000,1000000,9,0.20000,1.35220,400,-0.00000,41.99956,-90.14057,-75.77842,-34.28138,1.23026,35.90700,76.72256,87.19202
1000,1000000,9,0.30000,2.19029,400,-0.00000,63.44879,-130.00111,-114.95024,-53.66729,-0.96163,54.63409,112.28927,127.08464
1000,1000000,9,0.40000,3.16443,400,-0.00000,88.87580,-173.65495,-156.96231,-74.44557,-1.52115,74.42600,159.89161,187.86768
1000,1000000,9,0.50000,4.37985,400,0.00000,117.87761,-240.64516,-211.92203,-99.22131,-1.55105,96.27615,207.88316,228.43821
1000,1000000,9,0.60000,6.11662,400,-0.00000,153.00910,-306.90381,-276.78037,-126.71395,-0.70073,125.03239,273.84435,291.58895
1000,1000000,9,0.70000,8.91938,400,0.00000,204.09595,-418.84464,-379.39265,-169.29628,4.99952,167.21757,376.46464,406.27844
1000,1000000,9,0.80000,13.91517,400,-0.00000,280.86153,-578.49969,-522.73808,-226.68785,1.49442,220.67571,532.05090,607.07128
1000,1000000,9,0.90000,27.41621,400,-0.00000,440.99781,-926.27465,-850.51555,-347.26947,-8.22339,348.84792,830.47885,906.34704
1000,1000000,12,0.00000,0.00000,400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1000,1000000,12,0.10000,0.58419,400,-0.00000,20.67133,-45.52186,-38.03496,-17.19976,0.14134,18.02648,37.54049,43.08357
1000,1000000,12,0.20000,1.20490,400,0.00000,41.61437,-83.79046,-76.11430,-34.90004,-0.17808,34.97228,75.90654,83.17827
1000,1000000,12,0.30000,1.93637,400,-0.00000,64.28983,-141.39448,-118.38439,-52.99289,-0.00429,54.24798,118.53728,125.75494
1000,1000000,12,0.40000,2.78839,400,0.00000,90.01273,-172.14684,-155.29094,-73.70472,-0.55312,73.61226,158.94276,178.44748
1000,1000000,12,0.50000,3.86452,400,0.00000,116.84752,-238.07659,-213.82252,-96.60818,-1.26328,98.07537,206.38870,235.27986
1000,1000000,12,0.60000,5.48940,400,0.00000,154.39947,-307.18010,-280.80705,-124.93796,-1.41950,128.85676,276.77362,307.83133
1000,1000000,12,0.70000,7.93974,400,-0.00000,202.01551,-396.31334,-372.77147,-164.70757,0.40622,163.23797,370.25692,438.32492
1000,1000000,12,0.80000,12.40624,400,0.00000,277.37671,-581.68848,-522.59810,-217.68725,1.85528,220.73374,517.14419,570.40163
1000,1000000,12,0.90000,24.33334,400,-0.00000,433.53079,-946.75508,-813.52699,-339.22191,0.81937,344.98453,833.67348,915.09417
1000,1000000,15,0.00000,0.00000,400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1000,1000000,15,0.10000,0.53373,400,-0.00000,20.69918,-42.29066,-37.03764,-17.58893,-0.66917,18.27009,37.37255,42.19170
1000,1000000,15,0.20000,1.11335,400,-0.00000,41.57118,-87.30083,-72.68072,-37.16548,-0.01098,33.45302,75.02833,85.56502
1000,1000000,15,0.30000,1.75800,400,-0.00000,64.71441,-128.81805,-113.25543,-55.56355,1.08051,55.80948,118.27567,128.84256
1000,1000000,15,0.40000,2.53737,400,-0.00000,89.38830,-174.86837,-155.82348,-76.61666,-0.60518,75.04727,155.43037,173.12585
1000,1000000,15,0.50000,3.54284,400,-0.00000,118.16828,-227.88243,-210.76281,-99.35535,-1.07895,97.86570,210.21178,246.63248
1000,1000000,15,0.60000,4.93417,400,-0.00000,155.49800,-293.78783,-280.65591,-129.31884,2.32368,128.17076,285.76551,310.48337
1000,1000000,15,0.70000,7.17686,400,-0.00000,204.72073,-401.77025,-374.00121,-165.56607,-1.34023,169.69917,377.28214,421.53439
1000,1000000,15,0.80000,11.29449,400,-0.00000,278.58486,-565.89900,-519.38188,-220.66981,0.36877,220.96621,525.54809,590.69832
1000,1000000,15,0.90000,22.11755,400,-0.00000,440.73182,-905.53927,-839.36236,-342.33323,-8.72411,354.92270,849.73100,916.22363
